O15116	Q9CQ74	P68255	Q2HJ64	J9P1X6
Q9H8M5	Q8VCL5	Q8R456	E1B7C1	E2RG64
Q9NYG8	Q8BGR9	A0A0G2JSU2	F1MAT8	J9NVA6
P15848	Q8C0D9	Q5M7T7	G3N2L9	E2QU79
Q5T5B0	Q3UM57	D3ZS74	-	-
Q8TE02	Q8R2L0	A0A0G2JSP9	A2VE55	F1Q2V7
P81534	P55096	-	-	-
Q6ICG8	P15247	G3V747	Q10568	E2QXZ7
Q9NP72	Q99K43	D3ZNA8	E1BDL9	F1PI20
Q9H974	Q8K1E0	P34067	A2VDS9	J9P6P7
Q15672	Q9QZ57	P09895	G5E675	E2R949
Q96JB3	Q8BVU9	Q6RJR6	-	-
Q9UD71	Q91Z96	B2GUV8	E1BK05	E2RSW2
Q8IZ52	Q3V1M1	B0BNK2	Q0P5F0	E2RT20
B2RBR9	Q99LJ7	D4A9T2	G3N243	E2R2I2
Q53S27	Q9D3R9	F1LMQ3	E1BC38	E2QSF4
Q14588	Q9JJS7	Q6IRF8	Q2KHV2	E2RPA6
Q9BYV8	Q1HFZ0	D4ADI8	E1BPL5	F1PAR7
Q96D05	Q9CPQ2	F1LM88	F1MSK1	J9P706
Q9NWX6	Q99J48	A0A0G2KAK0	F1MKC4	J9P814
Q9H7X7	Q99LI5	D4AD32	A5D7I4	E2QX13
Q02086	P70331	F1LME7	A2VDS1	J9P794
Q69YI7	P70302	D3ZA22	E1BCJ9	E2RRG5
Q8NB12	P28575	-	-	-
P49863	P36423	-	-	-
Q8NC26	Q9CQA9	Q63321	A8PUI7	F1PXM3
Q9UK11	Q80VY9	P83556	F6Q4V7	J9P4Y5
Q5VZV1	Q7TSJ2	Q5XI28	F1MJR5	E2RAY5
Q86T29	Q3V460	A0A0G2JSW1	Q1RMH3	E2QZE1
Q5RZ99	Q8CFJ8	D3ZHD1	F1MCQ0	E2RNL8
Q8NEZ2	O09167	G3V9K8	E1AXU0	E2RBI7
P46976	Q7TPM3	D4A853	F1MAZ3	E2RRB2
Q15124	Q99PG4	Q561R9	F1MJK2	F1PRL7
Q8TD19	E0CX53	D4AAX6	F1MI94	E2R4K6
Q9NZ45	Q8VI47	Q5XIP6	A6QNT9	F1Q2E3
Q9BV87	Q1RNF8	G3V6I8	A7MBI0	E2R0K5
A6NHQ4	Q91W36	D3ZK53	E1BMB5	E2R2X0
Q9H300	Q9DCM0	M0R567	F1MSL0	E2RS18
P51589	Q6P9Q4	D3ZZQ1	Q58D56	F1PHN9
P42126	P17182	Q9WUK0	-	-
Q96H86	P50580	D3ZCC5	F1MXT4	F1PU46
Q8TEM1	Q9DCD2	M0R9I6	Q5E9A0	F1PB08
Q9NV92	Q8BG60	A0A0G2JXN8	E1BKE4	F1PYP3
Q9BYR0	Z4YJW6	P05182	Q4PJW3	F1PBI0
P31270	Q7TPD1	G3V959	F1MN10	F1PLS7
A0A0S2Z4M1	Q9JIM3	Q9Z2K0	-	-
Q15935	E9QNY6	Q5I0F0	P63214	F1PX99
Q5T5A8	O35350	D3ZH28	P07318	E2R0L0
Q86U44	E9PVD9	A0A0U1RRY7	F1N0W0	F1PIY1
Q5U5X0	Q3U9D6	D3ZC87	A6QPH6	F1PXZ3
P43004	Q99N20	Q6AYL7	A7MBG1	F1PFK6
O94901	A0A1L1SQI7	Q63425	P02666	J9P629
P04066	Q99KD0	G3V727	F6RG63	-
Q8IY95	P63102	D4A8H6	G3N2R0	E2QRW4
A1A5C7	P52592	D3ZMR2	Q3SZI1	E2RL82
Q9UKX2	Q4FZG9	Q6MFY5	F1MUS6	F6XYK7
P51530	P35293	-	-	-
P22413	Q9CXL1	A0A0G2K6H8	A0JNC1	E2R0W1
Q2TAL5	G5E8G3	D4A265	E1BPQ9	F1PXU2
Q9NQ69	Q8CFH6	F1LN91	E1BN75	E2QXM6
Q8WWQ0	P70248	B1WC61	A6QLD5	F1PIR7
Q8NER5	Q6PHQ9	Q6AYB9	A7MAZ6	F6XZ19
Q15173	Q60714	P62890	E1BFC4	F1PKD8
Q96PD4	Q99LP6	M0R688	F1N6W8	F6UV54
Q9HC84	Q8C2A2	F1LNF0	G3N2D0	E2RHZ3
Q9HCJ2	Q8QZR0	Q9EQX9	-	-
Q9P1Y5	Q923B6	Q99PD2	Q58DN1	E2QYC5
P08172	Q8R1Z9	Q9JKB0	E1BGQ5	H9GWE0
Q9UPQ4	Q9Z222	G3V9A0	P15497	J9NRV5
O14772	Q3UH60	F1MAB7	A7Z054	E2RJS2
A4FTV9	P61375	D3ZLG1	P04836	E2QY95
Q96S06	P59644	Q5EAJ6	P63212	J9NVA9
Q9P2W1	F6UPY1	-	-	-
Q7Z713	Q9ER35	Q5RKH0	E1BNB2	F6Y6M3
Q8WTS1	Q68FL6	-	-	-
Q9NVV0	A0A0R4J0D3	Q91Z63	E1BH36	F1PWF4
Q9BYJ1	Q80X85	D3ZC99	E1B9N1	F1Q3T2
Q68DK7	Q64441	Q5HZY0	G3N3K6	J9NVD5
F8WC89	Q3U4G0	A0A0G2K4D9	Q04752	F1PSQ5
A2A2Y4	P67871	A0A0G2K9Z7	A5H027	E2RBY4
Q9Y6X9	Q3TKK3	F1M495	F1MC23	F1Q313
Q9NRY5	Q544X6	D4A3W4	A1A4R0	E2QTY4
Q9H7X3	Q8CAB8	-	-	-
Q8WWI5	D3Z0B9	D4AD01	A7MBB2	E2RD22
Q9NUV9	Q9QXT0	A0A096MKH2	Q0IIJ2	F6XIY7
Q5TA50	Q6PAJ1	D3ZHJ6	A6QR35	F1P9B7
O95551	Q3UP38	Q6IE12	E1BNA9	F1PNS8
P28908	E9PXZ3	A0A0G2K0C6	E1BGL5	J9NWG2
P80098	Q60634	D3ZCK4	F1MTZ1	J9P5H7
Q96S16	G3UYU0	A0A0G2K9T4	F1MUQ2	F1PWT8
P26441	Q8C2S5	D4A1W1	F1N784	F1Q1S4
Q6P1W5	A2A863	D4AEG6	E1BGG3	E2R7K4
P10746	P11033	G3V7U5	-	-
Q9NZM6	Q7TMR0	D4AA36	E1BH29	-
Q9BWF2	Q9Z0K7	-	-	-
Q9HDC5	Q80UK8	D3ZQT7	F1MD29	F6XMJ9
Q0VAQ4	Q3U1C4	Q3B8R6	F1MFD0	F6PMG8
Q9BT09	Q5XFZ0	P26433	E1BAT5	J9P2U7
Q96MA6	O35943	Q5XI67	Q05B83	F1PQE3
Q96GV9	Q9QUP5	P62824	A2VE72	E2RQ59
P38935	Q9CXT6	F1LSL2	F6QPI1	F1Q2H8
Q9Y234	A0A0R4J0R1	M0RC38	-	-
E9PRG8	S4R1R7	A0A0G2JSY8	A4IF73	E2RA18
Q9C040	Q69ZZ6	P01830	P79345	J9NZW7
Q8TBC4	Q8BT18	Q7TQ94	P19141	E2RG11
A2A3K4	Q9CXY9	A0A0G2K045	F1MM55	E2RIF2
Q9HC21	A0A0A0MQF3	F1M0D2	E1BNU4	J9NYQ7
Q59FJ7	Q7TPE5	F1M362	Q17Q91	F1PN79
Q96MF6	Q9R0N5	D3ZGB8	Q17QU7	F1Q0J7
Q99698	P52793	P04774	E1BPM6	E2R4P6
P50607	Q61387	B5DFB2	A7MBJ8	J9P816
Q8NG11	Q9Z0T9	-	-	-
Q9P0R7	Q9CY02	D4ACM1	F1MDF1	F1PJV6
Q9H0E7	O09043	O35821	F1MKW9	Q28250
Q9BT23	Q8BP97	P56719	E1BH51	E2RNM2
Q7LG56	P97467	P06765	F1N1C7	F1PIK5
P51460	A0A0R4J1A1	B5DEZ3	E1BCW1	F1PR75
P51817	P61025	A0A0G2QC19	E1BD87	L7N0I6
P35321	Q9D915	D3ZM69	E1BHN9	F1PU71
Q86UF1	Q9Z191	P01283	Q17QW4	E2RTF8
O15209	Q8BTY2	P0C5J3	F1MXB4	J9JHJ7
Q6NXT4	Q6NZA9	Q4V7A5	F1MIV1	E2RID8
A0A0S2Z5S9	P58459	D4A9J3	Q0VCP1	F1PD90
O75629	Q9CWQ2	D3ZD80	A5PK88	F1PU29
Q9H6B4	Q9QXA3	A0A140UHW7	A2VDR8	E2RDI6
P10997	Q673U1	Q75N33	A7YSY9	F1PDA5
P29120	Q9WV66	D4A7Q6	Q3T0Y8	E2RJE5
Q92901	P06467	D4A585	F1MUU2	E2R0D8
Q5BJF2	Q8BMG0	-	-	-
Q7Z4G4	P52840	Q56A29	A2VE26	J9NZX6
Q13433	Q9Z2Z6	Q5FVP2	Q2LL38	E2QX37
Q7Z6J8	Q8K326	Q8R424	F1MPL1	J9P8N6
Q96LS8	Q8BGZ3	D3Z8T0	G3X6B9	E2RGE0
Q68CQ7	Q91W98	E9PTR4	E1BDD2	F1PN31
Q5RGS3	Q06649	P13383	F1MK77	J9PA12
P09016	Q9D5V2	Q64346	E1BIC8	-
P43268	Q9CYQ7	D4ACL0	F1MMZ9	F1PYY2
Q5VWN6	Q6IRU7	Q6URK4	Q32PE0	J9NVF5
Q9BUU2	P24610	B2GV08	E1BJQ1	F1Q4F9
Q8N5Z9	Q9DBZ1	F1M5Q7	Q3SZN2	E2RPJ4
Q8N7M0	Q9CPY0	Q66H12	E1BN13	E2R967
Q7Z5J4	Q9D8B6	Q4KLJ8	Q2HJD0	E2R586
O00258	Q99MR1	Q6IRE3	G3MYT4	F1PFQ5
Q9P2S2	Q80X19	Q68FR0	Q58DG1	E2R2G0
Q15172	O35732	F7FJQ3	F1MXS4	F1PNZ6
Q06547	Q9ESW4	B2GV87	E1BJA5	E2RHU1
Q8TDJ6	A0A0R4J2B5	G3V760	F1MPD8	F1PZ83
Q9BXJ1	A0A0R4J018	B1H294	F1MJW5	F1PIU4
Q9UJH8	O08581	D3ZG38	F1MRT5	F6UY30
A8MPS7	Q8BPP5	Q4FZU8	F1N6G8	E2RRD8
Q8N612	Q8C3Q5	Q7TPB4	A6H7F8	E2RJ30
A8MVW0	A4Q9F4	D4A8C8	F1MFA3	F1P943
Q6P995	Q80ZU9	-	-	-
Q16559	Q920Q4	A0A0G2JZN2	Q1LZ74	F1PBA8
B2R6K4	G3UXW9	-	-	-
Q04725	Q9QWG7	D3ZUD8	F1MC79	E2RB66
Q8WXF8	Q8BH52	D3ZVD4	A4IFQ5	F1P6E1
P55773	F6RPJ9	B2RZ41	P21327	F1PQA8
O14931	Q7TSP5	Q642F4	E1B7A6	D3YJ60
P98088	Q8BY87	D4A1A6	G5E6I7	F1P8A5
P50226	Q8R0F3	G3V777	F1MFH3	Q9N0Y2
Q92765	F8WIG2	P32755	Q6Q7D1	F1Q114
Q13356	Q8CBX9	-	-	-
Q9H8M2	Q3UR97	Q5XIE5	Q1LZB9	E2RLY7
Q02487	Q6PHN7	Q4FZY0	O77480	E2R6Q7
Q9H6Y2	Q9Z211	Q06647	Q2KJ60	E2R0J4
Q9HB29	P26262	Q5U1W4	-	-
P48050	Q9ESC7	A0A0G2K2F0	Q08E42	E2RP02
Q2YD98	Q9QXJ4	G3V717	Q29RU9	-
Q8TF76	E9PZB3	P15823	F1MLD8	P11617
Q9BW91	Q8BZ64	P18576	Q2TBP4	E2QWU6
Q9C0K7	Q8BTN3	-	-	-
O43379	Q9DAR2	D4A0A0	P79342	-
P01891	Q8BGS1	-	-	-
Q9BX59	A0A0R4J049	Q5RJS3	G5E6K1	E2QUP0
Q9Y535	Q64459	A0A0G2K4C0	E1B7M7	E2RDN9
Q9H2B2	Q3UVR0	F1M8W4	F1MQK9	E2RCI1
Q6IBT3	Q9JME5	Q2TGJ5	F1MYW7	F1P8E9
Q9GZX7	Q5DU37	P34131	E1BDF2	E2RAB9
Q9Y255	Q8C0P0	D3ZW58	E1BNP2	J9P0M7
O43665	H3BLF0	D3Z9Q6	E1BEG2	F1PRJ2
Q5UE93	P41593	Q6DG50	E1BI49	F1PJ02
O43657	Q9DBN7	Q63135	E1B960	F1PBE5
Q6UXF1	P97428	-	-	-
Q8NEP9	Q8CI17	D3Z8X4	P68103	E2RE91
Q00978	A0A0A0MQ97	G3V8V6	E1BE99	F1PTG5
P42081	P41588	G3V7V3	Q3SYW3	F6XRN5
Q5T0T0	Q80SU7	B2GUZ7	F1N4C6	F1PZG8
P41236	Q6NVF0	D3ZFR9	F1MIH8	E2R4V6
P0C7H8	Q9JJE4	D3ZU88	E1B9A3	E2RIE3
Q9UKU6	Q91WC1	F7EZF5	A2VDQ4	E2RG16
P30926	P35550	D4ADZ0	E1BAC4	J9P3V8
Q8WW34	Q9DC53	A0A0G2JTM6	E1BMJ7	E2RBA5
Q86UE6	Q61510	D3ZQJ8	F2Z4C1	J9P753
O75096	P62077	-	-	-
Q9BTM1	Q99M20	P21555	E1BFT5	F1P865
Q03169	Q8K2I3	Q63633	Q3MI05	E2R1P7
P01569	Q8VIM5	B1WBS4	-	-
P05013	Q0VG49	-	-	-
P53805	Q9WV54	D3ZBC9	E1BKJ6	F1Q126
Q96A98	Q9CQL2	G3V9Y6	F1MR96	E2RDQ4
Q99755	Q9CWR1	D3ZWL6	E1BP24	J9NSK0
Q8WXB4	Q8BGI7	F1M5J1	Q2TBQ3	J9P717
Q8NBN3	A0A0A0MQ92	-	-	-
Q9H147	Q8R184	Q6PDW6	G3N0X5	E2RIF9
Q9NY99	Q9EQM5	A0A0G2JWU8	E1BCM8	E2QYS7
P19823	Q8BZN6	D4A5N1	A6QQS3	F1PAD8
Q96DN5	Q8VF03	D3ZLT7	F1MRD9	F1PG21
Q8IYU8	P86044	G3V914	E1BEL7	F1PG65
Q8NC24	Q5HZK1	Q812E8	A4IFL2	F6V6J5
Q8NDV3	P52480	P69897	E1BL43	E2RNE6
P54840	P97431	F1M7T0	F1MSU3	F1PK51
Q6WBX8	P15331	M0R8X9	Q3T0E5	E2RT29
Q8NHY5	Q67FY2	Q9JIJ8	E1BNH4	F1PA90
P55895	O08908	Q642E5	F1N4U9	F1Q2U7
Q9UBV2	Q8C6G0	A0A0G2K1V3	F1N7M1	E2RKY0
Q9HAV5	Q8C267	P62752	A5D7S7	F1PAW4
Q9HB58	E9PUP0	A0A0G2JTL9	E1BBK3	F1P9S5
Q9UQP3	P24699	Q8VIP3	Q9BDJ6	F1PR14
Q96LC7	O08599	O35094	Q58DF9	E2RMN1
Q9NXZ2	Q505G4	Q719N3	F1MS73	E2R5F6
Q2NKJ3	B1AT83	A0A0G2K355	E1BFW7	F1PA43
Q8N2R8	Q8VEL0	P29348	E1BHI0	E2R3Z2
Q9NWD9	Q8BML2	D4A203	G3N2E9	F1PT29
Q13907	Q62417	D4AEG9	E1BDW8	E2RPS1
Q96NB3	G5E870	B0BNM4	G3N1E5	F1P9F2
P21941	Q9JMH9	D3ZUP3	G8JKX3	F1PJQ1
Q9H2D1	E9Q6C8	D3ZJH4	E1BN34	F1PIG8
O15446	Q61125	P27615	Q4A1L4	F1PVE5
Q15475	Q60857	Q5PQT4	A6QLT9	F1P9Y2
Q9BRV3	P12787	F1LUN5	F1MJT0	E2RPA2
Q9BTF3	P01898	A0A0G2K7L6	-	-
Q8TAB7	Q61129	Q3KR51	-	-
Q8N8U2	B7ZNY0	D4ADZ2	P35722	E2RD68
P0DL12	A2AJI0	O08726	G3X7M1	E2RQV8
P50539	Q99MA9	F1LR72	P68399	J9NVA8
Q3ZAQ7	Q9WUL7	P97573	Q1RMM2	E2RQE5
Q9BSF8	P56960	Q6P7R8	E1BIX7	E2QUZ8
O43581	Q9D067	A0A0G2JXZ5	E1BE83	E2RN45
Q96L50	O55237	D3ZZH7	Q148G9	E2RN97
Q14C61	Q9JK42	P30835	F1MNF4	E2R9L0
Q9BY67	Q8BK84	A0A0G2K0Y2	E1BJQ9	E2R5G4
P20062	Q7M6Y2	Q9WTW8	-	-
Q86Y78	Q9CWH4	A0A0G2K612	Q3SZN5	J9PAU1
Q8NBJ9	Q9DB00	P02466	F1MYV7	F1PB69
Q8WYN0	P68511	G3V974	A5D7D8	E2RLV5
Q86VK4	Q6PFX9	G3V626	E1BDC9	F1PPY4
O75347	A0A0A6YXI5	G3V942	Q3ZBV8	J9NUF6
O15235	O88978	F1M3A0	P02720	F1PHA0
P19961	Q9CXR1	P52909	E1BPP4	E2RMM0
Q9UKZ9	P59648	D4AD76	E1BNP0	F1PGU5
P05230	Q569N2	A0A0G2JZX7	F1MKA0	P33703
Q8IX94	Q794H2	D3ZW60	E1B8Q1	J9NZ72
Q8WUF8	B2RY56	A0A0G2K023	P01888	F1P625
P28223	P15920	-	-	-
Q53H47	E9QN68	D3ZGZ9	A6QQZ2	F1Q0F2
Q92913	B2RXC5	F1MAG2	E1BMB8	-
P01185	Q8C138	A0A0G2JW85	F1MNV8	F1PQ34
Q2VPK5	A2A761	G3V8W6	F1N3Z7	E2RTE8
Q07283	Q9D9J2	Q6P7C7	F1MFY9	F1PV81
Q9UMX2	Q9CZL2	D3ZZ37	A6QR26	J9NYK4
Q6PML9	Q8CHY7	A0A0G2JUA5	A7YY55	J9PAT9
P09758	E9PWD2	Q4G086	Q5BIP9	F6XG82
Q9NVM9	Q9ERE7	B1H259	A0JNC8	L7N0I1
Q9NS39	Q8VE04	Q6P684	A6H779	F1PCG7
Q8N944	Q69ZB0	F1LYB3	E1BCX2	F1PJ05
Q86UD3	Q9D3L0	O70594	E1BIM1	F1PGU3
Q6PNN2	Q810B8	Q05175	Q17QQ1	E2RLE5
Q96S55	Q8BU00	G3V9Y1	B7T155	F1PQZ1
P0DME0	Q8BG36	Q6AYD1	P52205	F1Q419
Q969L2	E9Q4N7	D3ZL84	F1MEA4	F1PI73
O14653	Q9WUK2	D3ZT03	Q1LZG6	F1P9Y5
Q969E4	Q8C2E4	Q63068	A0JNM0	E2REP2
O75167	Q7TQP4	D4A900	F1N052	E2R0Q3
Q04656	D3YU89	A0A0G2K8H6	F6QUW4	E2RFL0
O76050	Q9R0E2	A0A0G2K9W7	Q27966	F1PCU2
Q9BY27	A0A0R4J060	G3V7W1	A6QLX3	E2RMQ0
O95678	P56390	Q66HG7	F1N4B2	J9NW05
Q92837	Q9CPR1	G3V788	G3MX83	F1P7L9
O00305	Q91WT8	F1LM99	A7MB17	E2RFV9
O94988	E9QMA6	D4ABK1	F6RDR3	E2RFW2
O14669	P20693	Q9JMG6	E1BN97	E2RA80
Q9UEE9	Q8R0B5	Q6AY30	Q5E9C8	J9NRS7
O43237	Q9DCL9	Q02293	A5PK73	F1PF67
O15353	P18826	D3ZP89	-	-
Q9Y233	E9Q1U6	D3ZJG4	A6QR31	F1PWW0
P09210	Q9CQZ1	P30919	Q2KHW7	E2RMQ3
Q7RTV2	Q08376	Q66H06	G3N275	E2RKV0
Q6L8Q7	F7D7A9	Q5PQV1	E1BLC6	J9PAD3
Q8IYB8	E9PYR1	D3ZYE3	F1MN51	F1Q063
Q14693	Q8CC35	P08424	F1MMD5	E2R5L2
Q53EP0	Q7TN02	-	-	-
Q7Z5Q5	O54754	D4A6W5	F1MT22	J9PAW3
Q9GZS0	Q3UMB5	A0A1W2Q6D5	F1N643	F6XNR1
P34896	Q8VHP9	D4ABX6	E1BK92	F1PTQ3
Q8IV08	Q60591	A0A0G2JVI4	E1BMS5	J9NYQ2
Q6ZW76	Q6R6I7	D3ZJV9	E1BLY0	F1P9Z6
Q5W0Z9	P70404	-	-	-
O75391	Q8BL74	P53610	E1BBI2	E2RTD1
O14514	Q9Z306	A0A0G2K3Q5	F1MCL0	E2QY12
Q13424	O88845	Q66HR2	E1BPM9	F1P9W0
Q8WXH0	Q8QZX2	Q62848	F6QL92	E2R0X3
Q7RTU7	B2RY50	D4A7G5	E1BH01	E2RDS5
Q9GZQ3	Q921R7	Q5XIU3	-	-
Q92664	Q91WD4	A0A096MJY4	E1B8F6	E2R4K9
P20264	Q3TL95	A0A1W2Q6L7	A6QLA5	F1P8R3
Q8NHZ7	Q6PFX2	Q5PR00	F1MCP5	E2R3M4
Q06203	Q99JR5	M0R7T1	A6H744	E2R302
Q6PIW4	Q9JMG2	Q60587	Q2KJ28	F1PUU9
Q16718	P18894	O35757	A7YWP2	F1PGP8
A8K7F6	Q812C9	-	-	-
Q14982	Q6TAW2	B0BMZ6	F1N498	F1PTL3
Q8NEF9	Q3UHB8	G3V7M7	-	-
P16260	Q80ZM7	D4A7Y4	F1MN98	F1P661
Q8N130	O09130	D3ZWF4	E1BDR3	E2RT40
Q96NX5	Q9CQ14	D4A266	E1BD01	F6XG65
Q9Y243	Q9QZC1	D3ZK92	F1N7L8	E2RM35
Q8IZJ0	A0JLY1	Q66HC2	-	-
Q9HBL8	P57725	Q5FVS4	F1MM46	F6UMN8
O60404	Q8BH98	Q402C1	Q0P5B1	F6XVD7
Q6IQ49	Q8BVM7	D4A3H3	E1BQ02	J9P156
Q9H0I3	Q6SKR2	G3V7Z1	Q0VCF5	E2RHE5
Q08AF8	Q9QUR7	P02625	F1MUI9	F1PP15
O14713	Q4LFA9	O35431	E1BEB7	E2RH91
Q9H2A7	P11609	D3ZD16	A6QPV5	F1PAW6
Q8NBZ0	Q80XJ2	Q7TNI4	A6QQQ1	E2QXQ3
Q96LW4	Q8K203	A0A0G2K1U9	Q6QTH1	F1PU87
P23759	A2ALW2	Q5BLX8	P46198	J9NUB5
O43768	A0A0J9YUA8	Q9WTQ6	Q3ZBP0	F1PXW4
Q8WXI2	Q3UV11	A0A0A0MXW4	E1BKU9	F1P667
Q9NY64	Q9CZ91	F1LXE4	E1B946	E2RCJ3
Q9Y6N8	Q6P5D4	P29456	A6QLY7	E2RAT2
P51857	Q8BXA1	D3ZWL9	F1N441	E2R0G6
Q04828	P31266	F1MAL8	G5E5R0	E2RLR7
Q149N8	Q5NCS9	D4A3U5	E1BN15	F1P9Q2
Q86VF7	Q99246	D3ZCG4	Q58CQ7	F1Q3N3
P48067	Q8CJ76	P31662	F1MU97	F1Q1G9
Q96A37	Q69ZS0	P48508	F1N1R2	J9PB66
Q9Y6J6	Q3TC72	D4A5K6	E1BAL2	E2R7G3
Q92609	Q922M5	D4A5T7	E1BP52	E2RKR1
Q8IWF9	F7A6P6	A0A0H2UH96	G3MXM4	F1PKP7
P29016	Q91ZT8	D3ZYA2	-	-
Q14416	Q99P68	Q6AXT9	E1BMG7	E2RPY0
Q8N7C3	P07724	F1LWX5	E1BGL6	F1PQ27
Q969J3	P23818	D4ADQ1	F1MTK5	J9NYI5
Q14532	Q8C4J0	Q7TS56	E1B9N8	F1PRF2
P05813	Q9QYR7	D3ZVF2	-	-
P33240	Q6ZPR4	F1MAF2	F1MX14	E2QUQ7
Q17RD7	Q3U717	-	-	-
Q8NFH8	O35658	P14925	A6QPG6	F6UNT4
Q6DCB0	Q9D4W2	P19359	E1BEQ0	E2RNT3
O75290	I1E4Y0	Q4KM74	A2VDW0	E2RCB0
C3PTT6	Q9CZV8	Q68FR7	Q56JW8	E2R246
Q8N5M9	Q5DTT1	Q63942	F1MZC2	E2QTQ8
Q3L8U1	O54824	P18506	E1BPW1	F1PE09
Q6P1L6	Q3UR70	D4ABG0	F1N7W4	F1P925
P08697	Q3V0E1	F1M8Z3	Q24JZ4	E2RPY4
Q9Y6A1	B1AQX6	P50235	Q0VCN1	F1Q0U6
Q8TD06	Q1A3B0	Q4V7A4	E1BMS9	F1Q409
P13686	Q45KJ6	D3ZAR1	Q17QK9	F1P699
Q9Y5S8	Q923E4	P23514	F1MMF0	F1PB35
Q9UI47	Q5U4H9	M0R5X0	F1N5T9	F1PAB7
Q16478	G3X8W6	-	-	-
O95897	P47876	-	-	-
Q96PB7	B5KM66	A0A0G2K2L0	E1BC77	J9PBL7
Q96NJ5	D6REH1	D4AE59	A6QLQ4	E2RBQ3
P58304	Q8VHS2	Q9R0S5	Q2HJC0	E2R9Z7
Q9BZB8	Q61211	Q8VIJ4	F1MY26	E2RCI8
Q8IUX7	Q9D9S1	Q4KLI7	F1MCI5	F1PF51
Q13514	Q9QZR9	P97532	Q3ZBL5	E2RAS7
P00451	P16054	G3V8C1	F1MW58	E2RKI6
Q15800	Q9DAM7	D3ZQQ2	E1BM49	E2QWA8
A0A024R0Y4	P70278	Q5XI94	F1N199	E2QWR0
Q9BV47	Q91YN0	-	-	-
O60507	Q9WTZ8	F1M7K4	G5E5Q8	E2QU68
Q9NVR2	Q61727	D3ZHV7	F1MN84	F1PC53
O43252	Q8C0D7	Q9WVH8	E1BJT7	-
A5D903	Q64511	D4A7S4	Q2TBL2	E2QWR3
Q9NPI5	Q9D8Q6	Q8CIN7	F1N6R8	J9NTL2
Q9Y561	Q80VX2	D3ZMM4	P05632	E2RLB8
Q9NPF0	A0A1B0GS21	A4GW50	A7YWN2	J9P4F0
Q6P5X5	A0A0R4J2C2	-	-	-
Q0P5N6	B9EKF4	-	-	-
A0A0S2Z4D9	Q8K064	Q6AYT7	F1N6R7	E2QY14
Q9NYM9	Q8R1C0	Q6GQQ2	G3MZB1	F6USD0
Q96NZ8	A0A1B0GR74	E9PSP1	F1MHP5	F1PR66
Q9NQG6	Q3UIL6	Q4V888	Q32KP0	F1Q1M2
P60059	Q9Z1Q2	Q9Z2Q7	F1MGF9	E2RHP5
P53801	P62492	G3V7B4	Q3B7L9	E2R764
P35462	Q9CZR2	-	-	-
Q9UI30	D3YZ80	G3V9Q4	-	-
P49682	Q8C569	P06214	F1MGS9	E2RPW0
Q13308	P97447	Q08406	Q0VC96	J9NXG2
Q96S38	Q8R361	A0A0G2JSS8	F1MIE6	F1PU61
O00339	Q7TNU7	D3ZTM2	E1B8C9	F1P6T3
Q15849	A0A0B4J1E2	Q5I0C4	E1BJG7	J9P555
O43272	Q9Z260	D4A2T8	F1MXY3	F1P955
Q6P4I2	Q9JKP5	A0A0G2JZ94	Q3ZC34	E2RLU1
O75159	A0A0N4SWA0	-	-	-
P01860	Q8K1K4	-	-	-
Q96BD8	E9PV14	D3ZFN6	Q2NL11	J9NXN9
Q96K83	Q6PCM1	F1LPM3	E1BN37	F1PYT8
Q96QD8	P23298	O08719	Q32PB1	F1PM56
Q9Y584	Q9D0I9	A0JPJ7	Q2KIW1	E2QYH6
O00767	P48318	P30560	P22571	J9NVM3
O14618	Q63ZV0	Q8R5M4	A6H709	J9P0R1
Q9NVR7	O88199	Q5I0H5	G3MYY6	F1PE15
Q9H0R1	P97855	D4A5Q9	Q3ZCC3	F1PE20
P40197	Q8VBV9	D3ZHD7	Q0VCT2	F1PHA8
Q8N6K0	A0A0R4J108	D4ABN2	Q2KIR4	F1PDQ0
Q8IYN2	P70396	D3ZQJ3	E1BNG5	F1P8H7
Q2V2M9	Q8BWY2	-	-	-
Q8TDN1	P97371	D4AB06	F1MN29	E2R0Y0
Q9UJ90	Q8BLR2	P20961	F1N6M9	E2R3C5
Q9UN30	Q6VH22	-	-	-
A1A4S6	P16563	Q66HA5	G5E5U7	F1PCG9
Q96BQ3	Q3TZZ7	-	-	-
Q9BXX0	A0A0R4J0K5	Q4V8B0	F1MQ30	F1PB16
Q9NRP4	O35936	-	-	-
Q9HAT8	A0A0R4J1K6	D3ZKQ8	F2Z4J1	J9NX68
Q9HCG7	Q2VLH6	D4ADD7	-	-
O43323	Q9D0M2	D3ZJA5	Q1RMR4	F1PZE9
Q8NBW4	Q810M6	B4F778	-	-
Q86T90	Q63739	A0A140TAE4	F1MGQ5	J9NYH3
P50895	P29594	D3ZNI5	Q5E9Z2	E2R3I6
Q96CJ1	Q6PFX7	Q6TQE1	A4FUH1	F1PRA2
Q9UBI6	P55098	M0R8G5	E1BBL5	J9P819
Q9Y2Y8	Q6RI63	-	-	-
O95741	Q9JJV0	Q2THW7	Q17QV1	F1PJX0
O15054	Q8BHR2	P22062	A7YWN4	F1PB12
Q8N3K9	E9PUU5	D4A4J3	E1BN03	J9NXX3
Q7Z4R3	Q9JHF7	A0A0G2K1H9	E1B900	-
P15036	Q9JMD0	-	-	-
Q8WXH6	Q03958	A0JPL0	G3X6R6	J9P812
