O15116	Q99J45	F1LTB8	A4FUE0	J9P8M7
Q9Y260	Q80YD6	Q5BJT1	E1BE32	E2RR15
Q9HDB5	Q03719	-	-	-
P50579	D6RE33	P63004	Q29RZ0	F1PFG3
P23760	P04426	F1M6S6	A4IFB9	J9NRK7
Q2M1K9	O55100	D3ZKV8	A7MBD2	F6Y4J5
Q9P0U1	O08858	P36364	F1MYM5	-
P50452	Q9DB40	P20395	F1MX43	Q68AY9
Q6NSW7	Q571J5	G3V6W4	E1BJC2	E2R0Q4
Q9NRN7	Q9D0I8	A0A0G2JZD5	Q17QJ4	F1PA67
Q96IZ5	O54992	D3ZYQ4	F1ME79	F1PWL5
Q9NP84	Q8VIK1	M0RC99	Q3MHE0	D2KC46
Q9UPW5	Q9D1B9	Q9ERA7	G1K224	F1PMP2
Q9HCG8	Q3UTQ8	F1LM84	-	-
Q8WTR4	Q99PN3	P17431	G3X6Q3	J9P8C6
P02760	P22727	D4A0T1	F1MML8	F1P6C9
O60658	Q3V0J4	Q2LAP6	E1BJX8	F1PSA2
P60891	Q6PIP5	-	-	-
P43358	Q9D6J6	-	-	-
Q7L622	Q9CWY3	G3V6E2	E1BMJ7	F1PEA3
Q92844	Q62426	D3ZMP6	E1BBM1	E2RN16
Q8NFD5	Q99K74	G3V763	F1N1G5	Q866Y9
A0AVK6	Q9Z126	Q4QR83	F1MM29	J9P689
Q9HA38	Q5XKN4	A0A0G2JTD1	F1MVT7	J9NVA4
P18509	Q9D6L8	Q5U2X0	Q1JPF1	F1PDT8
Q9UHG2	Q3UJT6	Q6P4Z8	A2VDR0	E2R1A1
Q3KR37	P51163	D3ZCS4	Q3T133	F1PZ33
O14810	Q2KHI9	Q64303	-	-
Q9NUJ3	Q3TLW9	O88773	F1MQ09	E2RN52
Q9NWY4	Q9WTP3	Q9Z1X1	F1MG08	F1PTW7
Q92540	O70133	A0A0G2JVM2	A4FUX7	E2RRE5
Q9BZS1	O88575	F1LYL9	F1MVL2	E2RB18
O75635	P70288	F1SW39	Q08E44	E2R2S2
P79483	Q99KJ0	P35171	F1MXE2	E2QY50
Q7Z5H3	P32043	A0A0G2JSQ2	F1MZC3	F1PUN5
P09341	Q9D084	M0RCH9	Q8SPP7	E2R1N6
P81877	Q3UEL9	-	-	-
O14613	Q8CDE2	D4ACW0	F1MKA6	F1P6B4
Q7LFL8	P12657	Q91ZM1	E1BIQ4	J9NU29
O43734	P38060	-	-	-
Q9Y2R0	Q3TVW5	M0R7X9	E1BNW5	E2RPE3
Q92541	P97499	-	-	-
O75030	E9Q1A8	D4A1G8	-	-
Q92824	P70295	B1H230	F1MSM5	J9NTQ2
P29033	Q9ERI6	Q8VHW5	Q0P5C0	-
P31260	P49813	Q66HL0	-	-
Q96AH0	P97473	F1LQC7	Q0IIJ3	E2RH41
Q92688	Q9JIK5	A0A0G2QC27	Q3MHR7	E2QZS2
Q8IXQ5	Q8BGS2	D3Z854	E1BAZ9	F1Q3Q5
P23921	Q99K46	D4AA63	P61603	E2RJ88
P14927	Q8BXN7	-	-	-
Q9BQ90	Q8CIG8	Q5HZA6	E1BD38	F1PCH0
Q9ULR0	Q8BMC4	Q5U2Z3	F1MFW8	F1P6G9
Q8N584	Q8VIB3	F1LLW0	E1B9M5	E2R4F7
O14686	Q5SUE7	-	-	-
O95260	F2Z3U3	P63057	F1MGL2	E2R163
Q86YF9	Q8CD26	A0A0G2JVC4	F1MC17	J9P8P7
P42025	Q920I9	A0A0G2K8D5	-	-
Q96QV6	P01027	A0A1W2Q6J8	F1N782	F1PR09
P11055	Q99LI5	P13832	A5PK24	E2RSW6
Q8N9S9	Q8BUW1	D4A062	-	-
Q9UBK2	Q6DFZ1	A0A0G2K6D6	Q2KIS2	E2QU87
Q13613	Q14BB9	D4AA06	G5E5Q6	F1P8E9
Q495W5	Q8BYY7	F1LMY4	-	-
Q9H992	Q02576	-	-	-
P08603	P24526	B2RYM8	E1BBQ1	J9P8Y0
O75116	Q8CBC4	Q62785	A7YY50	F1Q4H7
P18825	P42859	A0A0G2JVZ6	G5E5S5	E2R0I8
Q8N427	Q64096	Q7TP75	Q5E9C4	F6XIP5
Q5JVL4	Q80TK0	Q5U2W3	F1MDL2	F1P9Q9
Q6P4A8	O08600	Q5U211	F1N6S8	F1P9X0
O15409	Q9D572	D3ZJG8	-	-
Q5T5C0	Q9D8K8	B9TQX4	G3N2U5	E2RAS9
Q9P2B2	O88866	D1M8S3	A4FUZ5	Q9MZY0
Q9NUL7	Q80UP8	Q3B7D6	Q2KIX2	E2RMP6
Q8N715	Q9ESK3	Q68HB8	Q1RMR5	J9NUZ6
Q6GMV3	Q9CQB7	-	-	-
Q5TA78	P39038	H7C5Y4	-	-
O96020	P48453	P32198	Q3ZC32	-
Q9NX55	Q8C878	A0A0G2JVH5	F6QLF1	F6XFQ9
Q7Z3E2	Q9JJV1	M0R807	E1BDG7	F1PDY7
Q9NZR4	Q99JT6	A0A0G2K0Q8	G3N3L6	F6XI08
Q9BT22	Q8VDS3	F1M707	Q3MHI4	-
P0CJ68	Q91WS7	-	-	-
Q6PCB0	O89104	Q64346	Q2KHV6	J9NWM0
Q9UBF9	Q91WG0	G3V712	F6RF48	J9NUP7
Q9Y4X0	Q3U0J8	D4A280	A4FV41	E2RP18
Q14995	E9QNY8	D4A3Y2	Q3ZC90	E2R9P2
P21673	Q9CQI7	M0RDN8	Q3SX41	J9NRQ4
P08514	Q61578	Q5U2V9	-	-
Q1PBM2	Q8R0K1	F1LVV2	A6QL79	E2RFD3
Q9BZM4	Q2TJ95	Q6MG51	A6QPW6	F1Q0M1
Q5T1V6	Q91W43	A0A0G2K1K5	Q28090	F1PAD8
P05090	Q9D8U2	Q5FVI4	A7YY41	F1PPF2
Q86UE8	Q9CY50	G3V8U9	E1BGY7	J9P828
Q3B820	Q62092	F1M5M9	Q58CS8	F1PD81
Q13867	Q9CQL5	-	-	-
P55210	Q3TJD7	F1MAB8	E1BNS3	F1Q436
P41240	Q80YR7	Q63645	F6Q7P1	E2R3V0
B4DXR9	Q4G5Y1	F1LXQ1	E1BGM9	J9P9F1
O15247	O35381	A0A0G2K0H3	F1MJB1	F1PCI8
Q8IUI8	Q9JJV2	P45592	E1BMM8	-
Q9Y4J8	A2AQW0	P55159	Q148K4	F1PFY7
Q6PJG9	Q6P9Z1	D4AA02	F1MRJ5	E2RLJ5
Q13976	Q8C8K3	F1M944	Q32LL6	E2R534
Q9UJW2	Q8BGV4	Q9WTQ6	E1BC65	E2R2R6
Q9HD45	G5E8S8	Q9JJL4	F1MHX8	E2RLG4
Q05195	P48428	-	-	-
Q9HAJ7	Q01776	F1LTH0	F1MPW5	-
Q9BUP0	Q8R1Q0	Q91ZR7	A5PJX0	E2RT70
Q8NBZ7	Q9Z321	D4A4E8	Q5E969	F6UWG3
P28072	Q62245	-	-	-
Q76M96	Q9R0U5	Q925D2	E1BHK0	E2QS77
O00155	B1AY13	-	-	-
Q58DX5	Q9D939	D3ZT87	A7MB47	F1PRF8
Q99996	Q6NZQ8	Q9WU68	F1MAZ4	E2QW21
Q9BX73	P60154	D3Z9K2	F1N1T6	E2RPZ3
Q92567	Q99LB6	Q5FVL2	F1N166	F1Q3Y2
P15822	Q9DAM7	-	-	-
Q9UJW0	Q99JP6	B4F770	E1B7L9	F6XGN4
Q8IVL5	P40224	P0CC10	F1N2Q3	E2QXW7
Q86VW2	Q3UQN2	D4AB70	A4IFL4	F1PSK6
Q9UK80	Q9CR11	Q9QY17	Q5BIP4	E2QZR7
P53985	Q920L5	Q497B2	O62827	F1PWN7
Q86WN2	Q8JZY2	F1M3N2	F1MBJ2	J9P6S6
Q9UFP1	A2AQE2	P62966	A7YWQ4	E2RT07
Q99466	Q60936	E9PTS6	Q9BDI3	J9P8U8
O75368	O35655	Q561R9	G5E5R6	J9NSQ9
Q86X67	P17553	D4A7E8	-	-
Q5SYE7	Q3U0Y2	D3ZEK5	F1N0H5	J9NUF7
Q9NZ72	Q3UQJ7	-	-	-
P23490	Q80X19	F1LZI7	E1BM12	E2RCP3
O60346	P97489	D3ZVQ1	F1MLT5	E2RHZ1
Q86XR7	Q8CD60	P02651	E1BJ48	E2RBC1
Q96EP0	Q8BZM1	A0A0G2JSJ8	F1N0P0	-
Q969M1	Q8BKT6	Q91Z84	F1MYC6	E2RG38
Q9NWB6	Q8JZR0	D3Z8I4	E1B7V7	E2RL84
O43298	Q6P8K8	D4ADQ2	E1BKB9	E2R1H0
Q9BWP8	Q9D6J4	D4A3J3	Q0VBW7	E2RNE8
Q8TBZ2	Q9DB27	D3ZP67	G3MYQ0	E2RN13
Q9NP90	Q9R1M5	A0A0G2K3Q5	E1B7V1	F6UV44
Q7Z6M3	P17012	F1M541	P23934	E2RTL5
A0A0U1RQV1	E9Q658	D4A704	F1MK38	F1PSA5
P43626	P62965	D3ZDS9	G3N139	E2RT56
P45954	P58069	B1WC12	Q17QA1	F1P6R5
Q9NQE7	A2A9T0	Q6P9U9	G3N3S8	E2RD96
Q99743	Q9D8Z1	-	-	-
Q8IZQ1	Q80TE4	F1LSU6	E1BCZ9	F1P7K3
O15040	Q91XX9	F1M119	Q3MHW3	F1P6L7
Q9ULX3	Q60823	D3ZDS8	G3N2R8	J9NW59
P13051	Q6PGF7	D3ZVK4	A6QLD9	E2QZJ3
Q9NQ34	Q8C6G3	P0C8N6	F1N194	P60467
P00797	Q5XPT3	P26376	E1BEH2	J9P2S5
Q8N4L8	O54799	D4A908	A6QLZ3	E2RT27
P23368	Q9QXK3	G3V953	F1MQ83	J9NTR8
Q6ZMB5	O08967	-	-	-
Q9NVY6	Q8BFZ2	F8WFQ4	F1MD59	E2R6D8
O95302	Q8VE22	Q3LZI9	Q24JZ7	F6Y2S5
Q14031	Q8BYT6	Q63965	E1B7S6	E2RN54
Q01804	O35206	Q6IN44	F1MY40	E2RKE9
O95825	Q5SV77	A0A0G2JZB7	E1BH04	F6X7C9
Q6ICG6	Q8BWM0	F1LUD3	E1BD49	F1PNA5
Q9NZ71	Q149L7	P07808	F1MPL4	E2R8V6
P11487	J3KMM6	P05540	Q17QN3	J9NZ27
P31151	Q3TRR0	Q4V8J2	E1BM66	E2RIY3
O95861	Q9D8S4	-	-	-
Q9UJA3	Q52KE7	A0A0G2K5N7	F1MH16	E2RDD3
Q8IZ40	P59729	Q8R2H0	P25326	E2R963
O14798	Q8K450	Q6MG30	F1N3N9	F1PMW4
P31629	Q8K126	A0A0G2K785	G3N3B9	F1PAM1
Q8WXU2	Q00196	Q9EPT8	E1BME7	E2RAA8
P36954	Q99MQ5	P05371	A4FV78	L7N0L5
Q16206	A2AWL7	G3V777	E1B6Y9	J9P9U2
Q96E09	Q9DAN1	D4A198	G3N3D6	Q2ABD5
Q9BXG8	Q91YD6	A0A0G2QC58	A2VDR9	E2R193
O00237	Q8R033	Q925S8	F1MJT6	F1Q2R2
Q9UPT9	Q8BX70	D4A6F2	F1MSC0	F1PC83
O15182	Q6P1C1	Q1KMU0	Q17QV2	-
Q53S33	Q8R4G0	D3ZED7	-	-
Q9H0P0	A0A1L1SQI7	M0RCX0	F1MGJ2	F6XCD9
Q5T9L3	Q9QYC7	-	-	-
Q6IQ16	S4R2L8	Q5BK21	Q3Y5Z3	P40321
Q06210	P56399	D3Z8L5	Q08DX5	E2RH71
Q8TAG9	Q91VX2	B2GUY8	F1MXD0	F1Q0F0
P42702	Q8BHJ5	Q3KRE0	-	-
O60673	Q8VD63	-	-	-
P51452	Q8BY35	-	-	-
Q6P280	Q3TYA6	Q810W7	E1BAQ1	E2RG67
Q9Y619	Q922B1	F1LXJ9	E1B7U3	J9P483
Q03252	P10852	Q6P685	A0JNE9	E2R921
P13236	Q9ESG6	Q9JIL3	Q05AT5	E2RFL3
P32302	Q9D321	D3ZB14	A2VDP0	J9P2E6
A2RUU4	Q64253	-	-	-
Q8NEW0	Q80ZM8	-	-	-
O15481	P20782	Q5U2Y2	F1N0M5	E2R1V7
Q9BYN7	P10168	-	-	-
Q13571	Q9QYF9	Q76GL9	Q3T034	E2RMJ6
Q9H0E3	Q03137	Q4KM64	F1MPD8	P23685
B5ME19	O70194	B1WBQ7	F1N719	E2RJ53
P30419	Q8BGH2	M0RCM7	F1MS16	-
P62875	Q68ED2	Q5BK85	F1MZK8	F1PGA9
O14830	Q80U28	A0A0G2JXX8	E1BFC1	E2R202
Q9BXR0	Q6P9R4	Q5PQL7	A4FV48	F1PXI6
Q8TAE6	H7BX60	A0A0G2JT44	-	-
P32239	P41233	F1LTS3	-	-
Q70CQ1	Q9Z0H0	A0A0G2JWC7	F1MIW8	E2RN02
O00472	Q9D979	A0A0G2JUC0	A6H730	E2REW4
P15516	Q921K9	Q0VGK5	Q5E9G7	F6UZW9
Q8TAX7	E9QAG8	Q99MB4	G5E6I5	J9P962
Q96EV2	P41158	Q6AYM3	E1BNN7	F1PPW9
P0C0S8	A0A0R4J0I4	P08461	P62871	J9NWS6
O43295	Q3U0P1	-	-	-
Q8TAA9	Q9DBU3	O88275	F1N1C2	J9P8D0
P08567	P97292	P02466	E1BEN4	E2RGP9
Q9UQB8	O88559	D3ZQG8	E1BP64	E2R3F9
Q63HK5	Q91YE8	D3ZAF5	F1N3E3	J9JHV4
Q15061	Q6ZPJ0	Q62751	F1MR22	E2RSX5
O14807	A0A0A0MQ83	D3ZRL8	Q8HY88	E2RH23
Q8TEU7	P28667	F1M5Q3	A5D7C1	F1PFB8
Q9BW62	P19437	-	-	-
Q9H853	P32300	Q66H48	E1BG36	J9NXG0
Q8WX92	Q9EQM6	A0A0G2JSW0	E1BJA2	E2RGW1
Q16649	Q8BU00	M0RCP9	F1MSN8	F1PZM7
Q05952	Q9Z2R2	Q5BK97	A7YVD7	J9P9G2
P03915	E9QKQ5	Q6PDU2	E1BI41	E2R775
P50443	Q9JJX8	D3ZBY1	E1BIP0	F1PMM9
Q8NA19	Q9JHU9	D4A1V1	F1MY81	J9P5B2
Q9P2M4	Q8VF37	-	-	-
P49356	Q7TS99	-	-	-
Q8N4T0	Q7TSD4	D3ZDQ2	E1BNT9	E2R106
Q14005	Q8C7W7	B4F7A7	E1BB38	-
Q8N6R0	Q8VDP2	D4ACP4	-	-
Q86XT2	Q9CZ05	-	-	-
Q9UHV7	Q8VDI1	F1LZB6	E1BF00	F1PR64
P47870	P70325	D3ZYQ3	Q05B46	F1P7W9
Q9P273	P22893	D3ZAR2	E1BC36	E2RDU7
Q86WT6	Q91W64	A0A0U1RRY7	-	-
Q8N0V3	P20293	B5BUZ1	F1MC27	E2QX37
P04279	Q9QZS2	D3ZZ94	K7DXW3	E2REN2
Q9H1R3	Q6PD31	E9PTE5	E1BF37	E2RNC7
Q9Y2J2	Q9DBG6	D3ZWZ6	F1MDH3	J9P732
Q9Y5Z0	Q9JJW6	F1M8F1	F1MNJ1	F1PU44
Q96PV7	Q6GQS1	D3ZI49	F6PZN1	E2RH68
Q9UG63	Q80YR5	B0BNG7	Q3ZCE8	E2QUX8
P49642	O54890	P63251	E1BGQ9	E2RRU1
P01876	Q9CYK1	M0R8P0	Q0VD52	F6KIF6
Q96GC6	Q9D7C9	D3ZKV7	E1BBK3	F1PS35
P15882	F8VPU2	P07379	O46375	E2QZV9
Q5EB52	Q8HWH4	-	-	-
P69849	Q9CQZ6	E9PTB6	M0QW12	F1PY37
Q08648	Q9D113	P0CAX5	E1BLZ0	F1PU94
Q9Y657	Q9ES34	-	-	-
P06132	Q9D0M1	Q497A9	Q0VCC9	E2RPL5
Q96KP6	F8WHU6	A0A0G2JV41	-	-
O14958	Q5SXY1	Q02769	A5PK43	J9NXB8
Q3KNV8	F8VPZ1	B1WC95	F1N4J2	F1P6U2
Q92743	Q8C0T0	-	-	-
Q9HCN8	I7HFT9	-	-	-
Q6ZWB6	Q8R519	-	-	-
Q14166	P08505	D4ABE5	E1BJC0	F1PFN4
I3L0E3	Q70IV5	D3ZLN7	F1ML71	F1PKH2
Q9Y5P8	D3YV17	D4A670	-	-
P06276	Q8BMT4	-	-	-
Q6XE38	E9QAS7	B2RYE9	F1MDF9	E2RB30
Q8TBP0	Q9CWR8	Q6AXR5	F1MZE0	E2R1E6
O14647	Q66L44	D3ZKK4	P69341	E2RBY7
Q9BZR9	Q9WV32	F1LRI7	F1MD77	J9NS21
Q9HCJ0	Q99KD5	B0BN51	P32007	E2RMT4
Q7Z2E3	Q9CWI3	Q3T1J8	Q2NL34	F1PQI7
Q8N543	Q9QXC1	F1LTW9	F1MJL3	E2RHU8
P00167	Q6PG79	A0A0G2K4G0	E1BMH3	F6ULF5
Q14320	Q99LS3	Q6AY91	F1MG29	F1PB60
O95319	Q8BQ30	-	-	-
Q9BYV9	Q64282	P29117	F1MMH5	E2R1S4
P23109	Q9JJN6	A0A0G2K7P9	-	-
Q8NG57	Q8VCK6	Q5I0Q1	Q08DK3	E2RJH6
Q9BV40	Q91ZI0	-	-	-
B2RTY4	Q8BGY2	Q62625	A6QLS7	J9P724
Q6TDU7	Q9QY31	-	-	-
Q6P1X6	Q9R111	A0A0G2K0C8	-	-
O95411	B2RXA1	B2GV37	P19632	F1PN55
Q9H9V4	E9Q2Y0	P97700	F1N1Y2	F1PV50
Q969N2	P56931	Q76MV3	F1MLU4	J9PBI0
O96011	A1L317	B2GUV0	Q32P83	F1PKQ5
P09525	Q9CQT2	-	-	-
O15258	Q5FWI3	-	-	-
Q8IW41	A2A8L1	F1LMQ1	Q863H2	E2RM27
Q53H54	Q91ZJ9	A0A0G2K8K1	G3X6F7	F1PGB7
P98095	Q4FZG8	O35142	F1MNK5	E2RHX8
O43583	Q8BJY1	-	-	-
Q96RS0	Q920H4	D4AAZ2	E1BNN5	E2RB66
Q8IWA0	Q9R1S0	Q6AZ50	Q0VC61	E2RC17
Q9NQY0	P51906	-	-	-
Q8NA72	Q60967	A0A0G2K0M5	E1BMB1	J9P8A4
O75954	Q62137	M0R5X0	Q2YDK1	E2R1M5
Q9BZI7	A4QPD3	A0A0G2QC60	-	-
Q5T4F4	P28063	-	-	-
Q9UMW8	Q9Z1B8	Q6AYB4	Q0IIC2	J9P5C3
O94907	Q9WUK6	D4A895	F1MT46	E2R253
Q9BXW6	A2AB59	Q5Q0U0	G3N0G1	E2RS66
Q8NCI6	Q52KJ6	O35763	F1MM48	E2RJ38
Q8N468	Q920T9	Q66HH0	-	-
Q8NB49	Q9JLR5	D3ZIP6	A2VDV6	J9PA80
Q9UIY3	Q5EBJ4	Q6AY24	F1N4C1	E2RDE1
Q9NRX5	Q80V94	Q62634	-	-
Q8IYR0	P28651	-	-	-
Q96GX9	Q9CQL6	Q14TE9	G3MZP8	F1Q350
P21817	A0A0R4J2C9	P39950	F1MY80	E2RNW1
P19883	Q9JHK0	A0A0G2K4B4	-	-
Q5JST6	P56389	A0A0H2UHA0	F1MD85	E2REB3
Q9NRY7	Q8VD31	Q63486	F1N334	F1PDY8
Q9BUG6	Q99LF0	A1L1L6	Q2HJ53	E2RIW1
Q96AX9	Q8VI93	D3ZF99	F1MDL5	E2QY27
O95257	P32443	F2Z3S9	E1BQ01	F6UX21
P21453	Q91YT2	D3ZW88	F1N5S9	-
Q6ZMG9	Q9DCT6	D4A987	A6QPB1	F1PPB7
O43781	P70426	Q5PQT4	E1B7Y3	J9P7X7
P18074	P63328	G3V9M1	G3N0R6	E2QV08
Q8TBK6	Q9JI75	G3V6M4	G1K192	F1PGD3
P22531	E9Q411	P51886	A4FUE6	F1PB70
Q8IVU3	Q9JM96	Q498V3	G3MZ58	E2RR18
P06681	Q9CR40	D3ZRL5	Q2KIJ0	E2RJY2
O75771	P13705	Q4V8E9	F1MCV3	-
Q86XZ4	Q9CZU4	D4AAV6	P79119	E2RC08
Q7Z6G8	Q78J03	D3ZZ10	G3N0Q5	J9P6C3
Q6NSI4	Q8C203	A7YY82	-	-
Q9UPR3	P80317	Q06647	E1BNI8	E2RJ61
Q8TDR4	Q3URY0	D3ZH90	F1N340	E2QTB3
Q9BXT4	Q6ZWY8	M0RDK9	P68432	E2R4G8
Q01433	Q8BG67	O54980	A6H7I3	F1PHY8
Q13510	Q3U1G4	D3ZTJ6	Q3ZBU0	E2RHW7
Q9Y328	A2AR95	B0K009	E1BQ24	F1PRD2
O43247	Q5HZK1	Q5FVI9	G3N2E4	F1PAG0
Q86SE5	Q8K2W9	D3ZSX2	F1MFF8	E2REE0
P57077	Q810B8	P43424	A5D7U2	F1PTH8
P57058	O55226	-	-	-
O95865	O08852	Q5BJV9	F1MTT8	E2RM50
O76061	A0A067XG46	-	-	-
O95976	Q8JZP2	D3ZGA4	E1BI32	-
P04234	A0A0U1RNG7	A0A0G2K4G6	F1MTS7	E2RLG0
Q8N573	Q9CYD3	D4A7N1	P49259	J9NXP7
Q5SYB0	Q3TPT0	D3ZJ62	Q1RMQ0	E2RPZ1
Q8IXJ9	Q543V3	D3ZG48	P80177	F6XV93
Q96QT6	Q3UPE3	B2GUZ4	Q3ZCI9	E2QWY2
Q9H254	B2RU69	Q99PW3	E1BL94	F1PHM8
O00622	P41155	A0A0H2UHG1	G3MY06	J9NYA0
Q8IXM7	Q811F1	Q6AY23	F1N4K7	J9P736
Q9BYN0	A0A0R4J0G9	F1M601	-	-
O60636	Q9D8Y0	A0A0G2K564	E1B820	J9NTL4
D6RGH6	Q8VDQ9	-	-	-
P14784	Q9DB28	Q10468	E1BHN6	F1PNX9
Q99877	Q60772	F1LMI3	E1BDI3	F1P8E3
P01222	Q63918	Q561K2	G3N258	E2QWB2
Q8N239	G3UY57	Q811Q5	F1MIM4	E2RR46
Q8TAP4	P01631	P60868	A6H733	F1PAG7
O00168	P29391	A0A0G2K5U1	A4IFR4	E2R3G6
Q96B86	Q8CDI6	F1LRN4	F1N0D3	E2R6W0
Q9HA92	Q69ZU8	Q6UN82	P22457	J9P3U6
P01210	A0A0R4J1Q7	P56261	E1BQ21	E2RP61
Q96DE5	Q9R008	M0RDZ6	A5PKM1	F1PBL2
Q8NI37	Q8CIW5	-	-	-
Q99426	Q8CC88	-	-	-
Q9BPU6	O08850	G3V819	Q0VCA8	E2QW13
P35030	Q05117	M0RBT5	F6QPK8	J9PB64
O94827	Q9QYI4	P10067	F1N754	E2R734
Q7RTS1	Q7TMY4	-	-	-
Q9BVK6	O09110	-	-	-
Q9NYS7	Q9CZ04	Q63802	C1JZ67	E2RND5
Q8N350	F6R4N2	Q6AYQ8	F1MB71	E2R0G8
P08779	A0A0R4J0H1	-	-	-
Q9NSK0	Q9EPE9	D4A8H3	F1MDR2	F1PVP5
Q86XA0	Q8VC12	Q641X9	G3MZ88	E2R9Z7
Q6FI81	Q8BHE0	D3ZDH4	P00129	F1PUT9
P46734	P47806	D4A453	-	-
Q31612	P01898	D3ZLZ9	Q28043	J9P9V2
Q8TEX9	Q9Z1T1	B5DEG8	Q2KJ44	E2RNH9
Q2T9K0	Q61907	D3ZW60	Q58D67	E2R7D2
P48449	V9GWT9	A0A0G2K8U5	Q08DQ3	J9NRG7
Q8NB25	Q3U487	D4AE00	F1MLD0	J9P4D6
P55017	Q80WR5	D3ZP13	-	-
Q6ZN17	Q8K2C8	-	-	-
Q92484	Q9WTS4	D3ZQV2	A6H736	F1PWQ7
P50993	A0A1W2P8A6	B2RZB0	E1BKN1	F1PC18
Q9HD47	Q9D2I5	B1WBV4	F1MSE5	E2RQZ3
Q8IUC6	Q9D6V8	Q9Z1J7	F1MQ21	E2RFF1
Q9H490	Q3V3R4	D3ZVB3	E1BCU1	E2QYA4
Q6PUV4	Q6NZQ6	P25409	Q2YDD0	E2R7H9
P02749	Q9CQB4	Q5M964	A4IFL5	F1P6P0
Q6UXB4	Q9D967	D4A9T1	F1N648	F1PPK7
P01270	D6RGU0	F1LPZ6	F1N5Q1	J9P0J0
Q96C19	P61087	O89044	E1BFE7	O97799
O00445	Q5NCH9	Q63273	E1BI42	J9PAC2
Q8IXS6	Q08122	Q08851	F1ME36	E2RB57
Q8IYM1	Q61103	P09495	F1MM57	J9PAW7
Q13232	Q9CQ92	O88828	G3X7J4	F6UWF6
Q9HBE1	B9EHK7	Q99MF4	E1BLM7	F1PI43
O75128	E9QKD9	D3ZU55	Q3B7M5	E2RKM6
Q5VZK9	P48972	E9PT83	E1BAA9	J9P632
Q96EY8	Q80SY6	D3ZTA4	-	-
Q9UIF3	P0C1T1	D4AC16	F1MD36	E2RDL2
Q9Y5R8	Q8R3R5	-	-	-
Q06413	Q9JL26	G3V6K4	Q32PI0	E2RNN1
Q32P44	P55104	D4A3L5	E1B860	F1PLN3
Q9Y3E1	Q8CIZ8	-	-	-
Q93077	Q3U481	P09875	Q148M9	F1PNU0
P30047	Q4KUS2	D3ZQW3	-	-
Q13951	Q8VI23	F1LST0	Q0VCM0	E2RJ01
O14977	P22272	G3V7D0	E1BEA1	J9NWX9
Q6X4U4	P35461	D3ZTJ3	Q58DB8	J9JHC4
Q68EA5	Q61743	M0R9X4	E1BK57	E2QT84
Q86XN8	E9QPE7	G3V6V7	Q0II25	J9PBG4
Q86YL7	P63137	A0A0G2K9Z3	F1N2M3	F1PZW1
Q6VY07	Q91WE4	Q4FZV3	F1MRB0	F1P9J6
O14523	P70408	D4A168	E1BB91	J9P8K0
Q8WVY7	Q9D8F1	Q9R290	C1ITJ8	E2QXF4
Q6ZVD8	Q8QZS3	F1M298	G3N1W2	F1PKB3
O15539	Q9D172	Q5FVG2	E1BHX8	E2RH59
Q9NYW3	Q5NCF2	A0A0G2JYC9	Q3T0R9	J9P778
Q8NHZ8	E9Q912	A0A0G2KAJ7	F1MQD9	E2RJ46
P05114	Q9JJT2	Q5XHX2	F1MZP3	F1PQ44
Q9BT88	Q3B7Z2	D3ZXL1	F1N4D3	F6XLD3
Q9NSN8	E9Q4P1	D3ZRM5	F1MBS0	E2RKM5
O94993	Q8BPK2	A0A0G2K3M5	G3MW05	-
Q9Y4G6	Q99JB5	Q80WE6	F1MMA2	E2RTA1
Q7Z5B4	Q8C4U3	-	-	-
Q9NS37	Q6ZPK7	G3V960	F1N4H1	E2RJ07
Q71U02	Q8CFG0	Q925C0	A6QQZ7	J9P426
P28340	Q9QZM0	Q64428	F1MY41	F1PE28
P49641	P22437	Q8CIN7	G3N0B6	E2RPD3
Q9UBX8	Q9D7P6	Q9EPX4	E1BJZ1	E2QUV5
Q15527	F8VPN7	B5DF28	F1MQQ1	E2RBD6
Q8NCD3	Q8CH25	Q5FVQ5	Q1LZ74	J9NS44
Q13402	F6X0V1	A0A0G2K9V4	A7MB15	F1PFJ4
O60938	P41438	Q66H78	G5E5Y1	E2RMS0
Q9H9A6	Q9CQT1	D4A1R0	F1MSQ6	E2R2A6
Q14590	Q8BKB2	Q68FS8	Q2YDJ0	F1PIX5
Q969Y0	Q8BNU3	Q63150	G3MX53	F1Q0U6
Q14802	P70269	R9PY01	F1MPP2	E2RGF1
P30203	Q6P6M7	F1LQP7	G5E5T2	E2RQ04
Q14914	Q9Z2E4	D4A261	A5PKK0	J9JHT3
Q9NUD5	P24383	-	-	-
P24278	A0A0G2JE90	Q5BK27	F1N1F5	J9P7G8
Q719H9	Q149T1	P15063	F1MSM4	E2QVC0
Q96A65	Q9CWH1	B5DEL1	F1N0Z1	J9PB04
Q9H9A5	O88703	Q9JHU5	E1BLT3	F1PPS0
A6H8Z2	J9JI28	Q68FQ1	E1BDB4	F1PXR2
O75143	O55126	O88420	E1BE21	J9P3A1
O00401	Q8BMB3	A0A0G2JSM7	E1BC69	F1PNM4
O75663	Q8K354	D3ZU00	Q2NL36	F1PDJ8
Q9NQ48	O55142	-	-	-
Q9NQW7	Q8CEC6	P62483	F6R9X6	E2RD92
O95622	Q8CIV3	Q3L472	A2VDS1	F1PVB7
Q8TBJ4	Q91YJ5	-	-	-
Q13542	Q70KY4	-	-	-
