O15116	P10598	Q91XL4	F1MRE1	E2R4V5
Q96I36	Q9D6W8	A0A0G2KAD4	A5PJI8	E2RHA2
P60174	O55201	Q63014	P10881	E2RGN6
Q7Z699	J3QQ16	Q91W32	-	-
P15407	Q6PGG2	G3V9S0	F1MBU4	F1PN76
P19971	Q9CQ44	F1LT68	F1MVJ1	F1P6I0
Q96L08	Q9QZ28	P63251	F1MNK6	E2QVM5
Q9UP95	Q8BUY5	Q5I0D2	F1MG00	E2QRT4
Q8N0Y2	Q8BH80	Q1RP75	Q3ZC37	F1PX98
Q9ULD5	Q9CQ04	A7E3N7	F1MM54	J9NZ99
Q15345	G3X9T5	D4A078	Q08DT5	F1PEV6
Q9BXP2	A0A1L1SSS3	B2RZ54	F1MJZ6	F6XRD6
Q6QNY0	Q3URD3	D3ZAP7	A6QPZ6	F1PGS1
P48735	Q3UWA4	P63245	Q5BIS8	J9NY10
Q5D1E8	Q80WS1	P50878	E1BGF9	F1P8V1
P10619	Q9JII7	D4A9N9	A0A140T864	E2RB20
P01042	Q9D3V6	F1M998	G3N3T7	J9PAT9
P43234	Q9WUH7	-	-	-
Q6P3X3	P97384	Q75Q41	E1BPL7	-
P40126	Q6P5U7	A0A0G2JSL1	F1MET4	F1PFF7
Q9NST1	Q80ZE4	M0R7V1	Q05B51	E2RHX8
Q6ZUJ4	A0A1B0GT63	D4AAE6	F1MGZ7	J9PBB0
Q9Y2K5	P61967	F1LN50	G5E510	F1PGW4
A0A0J9YXQ9	Q99JZ0	H8Y6J3	F1MXT2	F6XEV4
Q9C0H5	Q6PAC4	D3ZV26	E1BD42	E2RMP6
Q9NNW5	A2BH40	D4A108	Q6T8E9	F6UTN8
P69892	Q61990	-	-	-
Q9NPH0	P97430	A0A0G2K189	E1B7B4	J9P5V9
Q9BTE1	Q9ES81	Q91XP6	F1MQK2	F6UPH0
Q9H1M4	Q8VDI9	Q5U2Y4	-	-
P09668	P54843	F1M0U1	F1MLG7	F1P9R9
P53677	Q8VEE0	F1LV17	P60712	E2QYE2
O95456	Q69ZC8	-	-	-
P21926	Q8BUR3	B1WC83	F1MI92	F1PZE9
P27037	Q8BTF8	-	-	-
Q5TEU4	Q9CQF8	P53669	A4IFM4	F1PUF5
Q9UKT6	Q91YD4	D4A7J3	F1MEP6	Q95LA2
P34969	Q8BY02	D3ZTD1	O02675	E2RKK7
Q8TCU4	Q9Z1D9	D3ZGM0	G3N2B2	E2QX17
Q13057	P50428	-	-	-
Q9HBD1	Q8JZS4	D3ZCZ9	F1MGS8	J9NUP3
Q5MNZ9	B9EJX5	A0A0G2KAE7	E1BHF5	E2RKQ4
P48788	Q9CRA7	D4ACB6	A6QP37	F1PV81
Q8N4X5	Q920B0	A0A0H2UHY4	A5PJU1	F1PF82
Q8IY47	Q9DAM5	F1LV76	Q3SYZ3	E2RAS7
Q92750	Q91V51	A0A0G2KA10	A8NIA8	J9P365
O00602	Q64487	G3V864	F1N0I2	E2RN56
P78423	Q8K4K4	Q9JLT5	E1BIK9	F1PU05
O43186	Q3UIW5	B5DEP5	E1BH45	J9P0C3
Q13939	Q9JHR4	-	-	-
Q9H3Q1	Q9D2W7	G3V867	Q2HJF5	J9NYA9
A1L4K1	Q60779	B8K1X9	-	-
P20290	Q9CYX7	D3ZNS1	A6H716	E2REB4
P02538	P11881	O88506	P68530	E2RTC6
P19419	P97447	F1LTB9	F1N1F8	F1PFQ5
Q5TA82	Q60610	Q2YDV1	F1MW26	Q2LEC2
Q8NI35	P61211	B5DF37	A5D7G6	J9P7F2
Q9Y5U8	O09012	P28470	Q8MKH6	J9P3H8
P49640	P35293	Q68FW2	E1BCV2	E2RGF9
Q9NRM2	Q920D7	P12749	A6QNQ7	F1PJI6
Q96FL9	Q8BQ47	A0A0G2JYZ1	E1BB32	F1Q2E3
Q9H3R2	Q3U186	B2RZ33	F1MMU1	E2R8M6
Q8TD26	A0A286YCP6	-	-	-
Q7Z6J9	Q9QWR8	P48973	E1BAX3	E2R0E5
Q96CD0	Q8BTI9	D3Z8C4	-	-
Q8NC06	Q8VED5	Q9Z250	Q32L47	F1P6Z2
O14832	Q9Z0H4	Q4V8L0	E1BK67	E2RPK5
P49190	P30882	P54258	P03898	F1PGK4
A4QPB0	Q9CZK6	D3ZA38	A7MB40	J9P4B4
O00418	P97334	B0BND5	E1B986	J9P483
P35749	Q91VL8	P52164	E1BA93	P33724
Q3YBR2	Q3UVY1	D3ZFH5	Q1XF11	E2R8P8
Q12798	P23927	G3V804	Q10569	E2RH04
Q9BUY7	Q9QY84	Q499R0	G5E601	J9NTK9
O75356	Q8BHH1	-	-	-
Q16880	A0A087WSD0	D3ZWQ6	Q2YDJ4	E2QYB9
Q8IWZ3	F6RPJ9	Q3KR94	Q32PI3	F6XQ20
Q6DT37	Q8CDT7	Q66H18	F1MUW6	J9PAC2
Q9BQI6	Q3URR0	P60042	P19632	B6F0U1
P29034	Q6NXK2	D3ZPM7	F6Q192	J9NUW3
A2RU30	E9QKE5	D3Z9B7	A5D7T4	E2R4R5
Q14573	Q91VA7	A0A0G2JWA3	A5PJW8	J9P0V0
P40925	E9PYK3	B5DEF3	Q2KIM1	E2R9S5
Q9GZS1	A2ANQ2	M0RCR3	A2VDV9	J9P9X5
Q5TH69	Q8CDB0	A0A0G2JZD5	P62954	F1P7J7
Q96A08	Q7M6Y3	A0A0G2K459	-	-
P20810	P97929	Q6P725	F1MKA9	F1PIU5
P68402	O88952	M0R5L5	F1N5U1	E2QYF7
Q9NQX3	Q8VDM1	D3ZQG0	Q6GV17	J9NTA4
Q15011	Q6IME9	D3ZQI9	G5E6P9	E2QUR0
Q7Z6J0	A0A140LHY7	D4ACW0	-	-
P23470	Q8C031	A0A0H2UHS6	E1BPB4	F1PHX8
Q9UJ78	Q5D525	Q5XIA9	E1BPE1	F1P9L3
B7Z8Y3	Q14BJ1	D4A6L7	E1BIQ4	E2R5X3
Q9H5J0	Q6PFE7	-	-	-
Q8N3J5	Q9Z2D1	Q4V8P4	E1BIM1	F1PCS3
Q9HCU5	Q9WVT6	A0A0G2K355	A6QPJ3	Q864F3
Q8IXH7	Q8K5B2	Q6MGC4	G1K224	E2RDU1
P02814	Q6B966	P24008	-	-
Q659A1	Q9D3S9	-	-	-
Q9UGM3	Q8BIJ7	P35411	F1MMZ0	E2QXZ5
P17098	Q7M710	Q5U1X0	Q3SYS3	F1PPE2
Q8N335	Q3URS2	F1M0M3	Q0VCS9	F1P7G6
Q9NS18	P63080	Q5RKG1	Q66WT7	E2RQK2
P02778	Q9DC50	D3ZSS0	F1MXK9	F1PE15
O43837	P53986	-	-	-
Q9NR23	E9PX29	O88582	Q3SWW8	E2RAP8
Q9Y2H0	Q9CPZ6	F1LW07	F1MIG7	J9PAX4
P19544	Q62446	D3ZM39	Q10568	F1PP26
P51693	Q64471	F1LUA2	F1MM02	F1PUA6
Q8WW22	Q3UYV9	Q66HF9	E1B9R3	E2RMA3
Q9Y2R9	Q80X85	P13668	F1MEL4	F1PAP1
Q6PJ21	O08918	D3ZX13	A0A140T873	J9NRJ9
Q9UJJ9	Q9Z1D8	Q9JK72	F1N7G6	E2RFF0
Q8N653	Q8BFU3	Q6P684	F1N4Q6	E2RGR8
Q9ULW8	Q8K2I9	D4AB55	F1MU32	F1PG82
Q86YC2	O35465	F1M771	A7MAZ2	E2QYP0
Q9NZ01	P59108	D3Z9L0	E1BGB1	F1P9B2
Q9Y2N7	Q5U4E2	P61312	F1N6B8	E2RQN4
P50135	Q9D9E0	Q9R080	G3X7G8	E2R0V4
Q15046	Q9CXS4	D3ZIX4	F1MC11	F1PGL4
Q9BRH9	Q63ZW9	Q9Z0M4	Q58CP0	J9NT24
Q9NTX9	P60469	Q9QUR2	F6PZ29	F6V9G5
Q1ZZU3	Q8C2N7	D4A723	-	-
Q86XK3	A0A087WQD7	Q8K553	A5D7T0	E2QXB8
Q96ND0	Q7TPN3	D3ZL83	-	-
Q01459	Q8VI88	G3V659	Q0VCP9	E2RHD5
Q8N4S9	Q58A65	D3ZUV9	F1MXZ1	J9NTC9
Q68DK2	Q99L43	D4A305	A4FUD5	E2R7G3
P32242	A0A0R4J1C7	A0A0G2JUG8	A6QNX1	F1Q3Z9
Q9BYQ6	Q9WUN8	Q63135	Q2YDI5	F1PFE3
Q96GM8	Q8C7D2	T2CB11	F1MD43	F1PZ82
Q8IWA4	Q69Z38	B5DFJ1	E1BAM5	E2RK04
Q96DW6	Q8K0W9	Q63116	F6RHP0	F1PKY9
Q9H8N7	Q9JHI9	P01015	F1MK41	J9P417
O75503	F6VPT9	D4A1Z8	-	-
P06734	Q61025	A0A0G2K292	F1MJW7	E2RKZ9
Q96D21	Q8CGT6	A0A0G2JZ43	E1BJR9	E2RBF9
P05154	Q9JJZ8	D3ZY38	F1MRP4	J9P1H6
Q6ZNJ1	Q8CE50	Q64536	E1BPK9	J9P4U7
P31276	P04401	P23606	A6H7A2	E2RN02
P22001	P01897	Q6MG07	G3X7Q1	F1PIW7
Q96FQ6	Q9Z127	Q5U2Q3	F1MI39	E2RQK8
Q9Y3B9	Q6ZPJ3	A0A096MJE3	-	-
Q8IVT2	P56501	D4A3X6	I6L9I4	F1PY07
Q9BQ15	Q3TVP5	Q68FX8	G3MWK1	E2RIE4
Q6SPF0	Q9D666	B0BN46	F1MZY6	E2RIF5
Q8TE30	O35963	D4A190	E1B946	F1PWN5
Q13255	Q6IFX2	M0R793	A4Z943	E2RR36
Q9NSB8	P56671	D3ZGG8	Q687Y7	F1PVX9
Q9NQ38	Q9CY86	M0RBY6	F1MX66	E2RNQ2
P46977	P35347	-	-	-
Q96Q11	Q792Z1	G3V9P9	E1B8S1	E2RIQ0
Q9Y3L3	Q8C4X1	F7FH45	Q0P5L8	E2R0Q0
O60602	Q3TT04	Q3MKQ2	A0JND4	E2R6Z5
Q15156	F8VQB2	O08835	Q3ZCD3	E2R5D3
O75608	A0A0R4J288	G3V761	F1MBN9	E2RF96
Q7Z5P4	D3YWG8	E9PTW9	A0JN56	E2RND0
Q9UEE5	Q8C7F9	D3ZSY1	Q3T040	Q9N0Y3
Q9NUY8	Q5U406	P09810	Q3ZBG4	F1PZ52
P78337	P37804	P63074	F6PRJ0	F1PAU2
Q8N5L8	L0N7N1	F7EPZ4	Q0Z7W6	F1PR67
Q92565	Q8K411	D3Z854	Q07537	F1PNH8
Q7L590	P16332	D4A8W8	A1A4L0	J9PA31
Q9BTE3	Q6VNS1	P62832	F1MBB7	E2QXZ7
O94761	Q8CFD4	D4A7K6	A4IFA7	-
P12272	Q99K24	D4A489	O18756	E2R7S4
Q8TAV3	Q8BHB9	Q4V887	A7Z074	J9P765
P17028	I7HFT9	D3Z8I9	G3X7P4	E2R7V6
Q9BWU0	Q00560	F1M9C5	E1BB97	Q5TJF0
Q01113	Q9JJX8	O35186	A6QQW1	F1PE42
Q9H1E5	A0A0R4IZX5	A0A0G2KB72	E1BEA6	F1PZL0
Q96QS3	G3X942	E9PSX4	F1N7U5	Q29476
Q9NTW7	Q921L7	A0A140TAA9	Q2TBW3	E2R0E8
Q7Z7B1	Q7TND4	Q80ZG0	-	-
P10589	Q9ESC8	-	-	-
Q9UBR4	Q5SX39	P17702	Q0VCJ7	-
Q9NVU7	Q7TQH0	Q6IMX7	F1MBI8	E2R775
Q9UBC9	Q62151	D3ZFQ8	F1MM78	F1P6G3
O75896	O88910	Q9WUK0	Q9XSK0	E2RKK9
Q9UL03	P31955	D3ZP13	G3X6B2	E2QYP9
P49913	Q7TN84	-	-	-
Q8N0V5	Q8R5F8	D4ACK0	F1MJW4	J9P5A7
Q14254	Q9JIF7	G3V9I9	A6QLT5	F1PEZ0
O75155	Q8BIQ8	O88778	Q32KV4	F1PNC6
Q9BZW8	Q9DD24	D5MTH0	E1BH05	F6UTV5
Q9H7C4	Q9CS42	-	-	-
Q96BT3	Q8CE68	-	-	-
Q9NQX0	Q9D892	G3V7T4	Q5BIS3	Q2Z1P8
P16152	Q61286	F1MAM8	F1N214	J9P2G7
Q5W0Q7	P53690	-	-	-
Q9Y2F5	Q91Y47	A0A0G2K862	F1MI16	J9P4R7
O60243	E9Q0X2	B0K019	E1BM81	E2RM97
Q9UK61	Q64442	-	-	-
P23588	Q9DBG6	A0JPJ7	F1MFZ9	F1Q3W8
O00754	Q5U4C9	P14480	F1MI25	F1PP16
P05109	O70503	P63004	Q58DC5	E2R9V5
P41208	D3YX87	Q4KLI1	E1BD01	-
Q2NKQ1	P23819	Q4KLH1	P80513	F1PAG3
Q8WUF5	Q62130	P09811	F1MY06	G1K288
O60783	P20067	-	-	-
Q7Z3B3	Q3TFD2	Q66HF2	F1MS17	F1Q3X8
Q9NX18	Q9QZ05	F1M823	G3X705	F1PX50
P49901	H9KUZ3	P51796	F1MTW9	J9P0P2
Q9BYQ4	P51942	P41243	F1MRX7	E2RMN9
P47881	P18337	G3V6U2	A6QLA4	E2RT42
Q96LZ7	Q6B9Z0	D4A3M7	Q17QT5	A4Z944
Q9BXI2	Q8CDI7	Q5XIG8	F6QYE2	Q5XNS0
Q8WYB5	Q3UGM2	F1LX91	Q0VCH2	-
Q9NWG3	A2RT62	A0A0G2K5K1	E1BH04	J9P8Q5
O95996	P02089	P13286	F1N0T8	J9NTP2
P16035	Q9R111	A0A140UHX6	F1MSM5	E2QYX4
O75190	Q8BK67	A0A0G2K659	Q3ZCI4	J9P5D6
P29475	Q9ERY9	-	-	-
O43347	P12399	D3ZVR8	Q32LP5	F1PSL2
O15273	P60330	F1M2S2	F1MJC4	J9NWJ0
Q12988	E9QM38	G3V959	A6QLE8	F1PKM7
Q9UPM6	Q6P9S7	F2Z3T4	F1N4H6	E2RLS6
O14863	Q8BZT7	Q6IE12	E1BNR1	F1PJ45
Q8WVM0	Q8R1B0	D4A1H7	Q05B50	E2QWL2
Q9BZC7	A0A0R4J1N5	D3ZER2	Q2T9W9	F1PWK1
Q9NWD8	O08755	P20650	F1MYW8	F1P717
Q9Y260	E9QAU8	A0JPP8	E1B7F0	E2R870
Q9HDB5	Q9WVL1	M0R544	G3N191	E2R1M3
P50579	P20108	Q6QI16	O62654	E2R7F1
P23760	P01132	B2RYF4	A6QPU3	E2RHG5
Q2M1K9	O35454	B2GUW4	F1MBJ7	J9NTC0
Q9P0U1	Q811L5	-	-	-
P50452	P19157	D4A6H3	E1BAP5	F1PQX1
Q6NSW7	A2AE94	B1H264	Q05B54	F6USM4
Q9NRN7	Q9ESK4	D3ZUW8	Q7YRA3	F1P6V8
Q96IZ5	E9QNJ9	P28902	E1BN52	F1PI30
Q9NP84	Q4FK59	D4A9I5	E1BE17	E2RCK3
Q9UPW5	Q6PDC0	G3V769	F1MED5	F1Q2C3
Q9HCG8	Q9QYE3	D3ZGA0	F1MKP6	E2RQ98
Q8WTR4	E9Q6D6	F1LTB8	E1B8V8	E2QY62
P02760	Q9D9G3	F1LNC4	E1BH01	E2RFT5
O60658	A0A0R4J018	O08839	Q3T0U3	F1PA71
P60891	E9QP99	P39950	F1MWC7	Q9TT99
P43358	Q61772	Q8R525	F1MN52	F1Q409
Q7L622	Q9CQD6	Q4QQT0	A6QQQ1	F1PWM8
Q92844	Q91WL8	D3Z9M9	F1N230	E2RAS8
Q8NFD5	Q921L8	Q64595	G3MYZ2	E2QTZ2
A0AVK6	P23492	-	-	-
Q9HA38	Q5SSI6	Q5M9H2	Q0II59	E2R513
P18509	Q91YJ5	P62909	Q1JQA4	Q5J7U3
Q9UHG2	Q8VI33	Q6AY43	Q1RMR7	J9NVV2
Q3KR37	Q8BPX9	P08911	F1N4Z5	E2QUK4
O14810	Q91XU3	D3ZH34	F1MUH9	E2RPB2
Q9NUJ3	Q9CYL5	-	-	-
Q9NWY4	A2AL50	D3ZQL7	-	-
Q92540	Q9QY36	B0BNG3	F1N2K7	J9NSH5
O75635	Q8C2E4	D4A0W7	F6RL69	J9P2Z5
P79483	Q9ET47	Q2KJ10	E1BGH7	Q076A5
Q7Z5H3	Q1XH17	A0A0G2K3D4	Q3SZX0	A9JPX7
P09341	Q6PGA0	D4A6J4	F1N1A9	E2RR60
P81877	E9QPE2	P10888	F1MJS9	J9NZG0
O14613	Q8BVM7	F7F389	F1MF00	F1PWG5
Q7LFL8	P70193	O35824	E1BPX7	F1PUW1
O43734	Q9QWY8	P32089	E1BC24	F1PLV2
Q9Y2R0	Q9JJK2	D3ZIV8	F1N3C5	E2R0G6
Q92541	Q8CHT3	A0A0G2JSR9	F1MHT2	F1PTA6
O75030	P30275	-	-	-
Q92824	Q9DBA8	B6RK61	E1BP02	J9P9T7
P29033	Q64527	D3ZS92	E1BJ79	F1PG43
P31260	Q8VCH0	-	-	-
Q96AH0	Q8K0P3	A0A0G2K2F4	A4FV41	E2RDI8
Q92688	Q8R1Q8	Q4QQV4	-	-
Q8IXQ5	Q8BM89	F1LM84	A4FV22	E2QYP8
P23921	Q5HZK1	A0A0G2K893	F1MD29	J9PBP3
P14927	Q0GA42	Q6IE67	G3MX87	E2RD60
Q9BQ90	O09053	B2GV96	F1ML89	J9P3X4
Q9ULR0	Q8BGR9	D3ZHS3	G3MX53	F6XZR8
Q8N584	O54692	-	-	-
O14686	Q9D4J7	F1LNE2	E1BND0	F1PQV2
O95260	Q5NCC3	A0A0G2JWK6	F1MX98	F1P7H3
Q86YF9	Q9CR14	Q68FX5	F6PVF9	J9P076
P42025	Q02780	-	-	-
Q96QV6	Q8CB14	D3ZH90	F1N193	F1PZA0
P11055	D3Z049	Q9QY02	-	-
Q8N9S9	Q80Y55	F1LN48	Q9TU23	F1PQK2
Q9UBK2	Q61184	F1M9C3	E1BEB8	E2QY95
Q13613	G5E8P2	D4ABN7	A6QLZ7	E2RH97
Q495W5	Q9EQF4	B2GV50	A6QLN9	F1P6K3
Q9H992	Q8R0S2	-	-	-
P08603	A0A140LIJ4	D4A427	F1MN72	E2RH23
O75116	Q8BTS4	Q0PXQ8	-	-
P18825	Q149L0	F1LPJ5	G3X6F9	E2R987
Q8N427	Q8VHY0	M0RBQ8	F6S0Q2	E2QXM2
Q5JVL4	Q8CEE7	P97557	A7YW81	F1PHU0
Q6P4A8	Q8BUK6	A0A0G2K2Z0	Q2TBP4	F6XRA9
O15409	Q99LP8	A0A140UHX1	G3X7J4	E2RPG3
Q5T5C0	Q9R001	P70478	Q402A0	E2RAW7
Q9P2B2	A0A140LIR2	P15207	G5E540	F1PLV0
Q9NUL7	O35250	Q9JM15	-	-
Q8N715	P21552	D3ZNU3	E1BLS1	F1Q0G5
Q6GMV3	Q8R3L5	-	-	-
Q5TA78	Q7TPZ8	A0A0G2K2J0	Q0VD04	F1PVX0
O96020	Q8VHZ3	Q6IN37	-	-
Q9NX55	Q9QXZ7	M0R3P2	A5PJQ0	F1Q0N7
Q7Z3E2	S4R1T9	F1LW58	F1MS60	E2QXZ8
Q9NZR4	Q7TN99	F1LND7	F1MRP6	J9P2D5
Q9BT22	Q80WC7	-	-	-
P0CJ68	P28665	D3ZK25	Q2KJ35	E2RR16
Q6PCB0	P50571	Q4QR71	-	-
Q9UBF9	P49300	Q6AYH4	F1MJ05	F1PCB9
Q9Y4X0	Q69Z69	P80254	F1MSS2	F1PGF4
Q14995	Q64455	G3V6N8	E1BGA5	F1P7X3
P21673	Q8JZZ6	Q5RKG9	P25712	J9NTS6
P08514	Q64448	A0A0G2JZA7	E1BB02	E2QVZ9
Q1PBM2	P97500	Q5XIM0	F1N3N7	E2RBM1
Q9BZM4	O55038	D3ZRG3	-	-
Q5T1V6	Q3U213	-	-	-
P05090	Q3TN34	A0A0H2UH96	E1B8M5	F1PFU2
Q86UE8	Q8CI94	-	-	-
Q3B820	Q3V3W4	P50280	E1BIM3	E2R8L4
Q13867	O89112	A0A0G2K7S2	G3X7W8	F1PDT7
P55210	Q8R104	-	-	-
P41240	Q8BMC4	-	-	-
B4DXR9	A0A0J9YTR2	Q06332	F1MP34	F1P9K2
O15247	P05533	D3ZKT6	A6QLD9	E2QWK9
Q8IUI8	P59764	Q66HK4	P81623	E2R5I1
Q9Y4J8	D3Z7X0	O88941	A2VE15	E2RF27
Q6PJG9	O88327	-	-	-
Q13976	Q3U4B1	D3ZXB1	-	-
Q9UJW2	Q8BWY7	A0A0G2K2K4	-	-
Q9HD45	P00342	-	-	-
Q05195	P23204	Q03351	E1BC69	F1PEY8
Q9HAJ7	P0DOV1	G3V9J2	A6QNM5	E2RHS9
Q9BUP0	O54839	M0RDC2	E1BPQ0	E2RGD2
Q8NBZ7	Q99PV8	-	-	-
P28072	P58771	D3ZD89	E1BPM5	F1PFR3
Q76M96	Q8K0X8	O08618	G3MY07	J9P741
O00155	F8VPZ3	Q5U2Y3	-	-
Q58DX5	P20612	D3ZBX8	F1MBQ4	J9NYR3
Q99996	P16045	E9PTR4	G3MXV0	F1PY49
Q9BX73	P45481	P19103	F1N4D5	J9NXD2
Q92567	A2ALK8	Q5FVK6	F1N6S4	E2RGR3
P15822	P38585	-	-	-
Q9UJW0	O08608	Q9Z340	A2VDU5	-
Q8IVL5	Q8BZ33	D3ZDB9	Q3SZZ9	J9P095
Q86VW2	Q9JJC6	-	-	-
Q9UK80	Q80X50	F1LP64	E1BBC4	F1P7J1
P53985	Q9CSH3	A0A0H2UHB0	A6QR51	E2R7R2
Q86WN2	Q5RI75	G3V6G4	Q95117	J9P901
Q9UFP1	Q9WVH9	-	-	-
Q99466	E9Q0Y4	D3ZV49	Q3SZ56	J9P5Z9
O75368	A0A1B0GQY9	O54880	Q3SZE3	E2RHC0
Q86X67	Q8BHR2	D3ZUE3	G3X6Z1	E2RSG5
Q5SYE7	O35111	D3ZES9	A7MB94	J9P4K1
Q9NZ72	B2RXC2	G3V9F3	E1BP90	F1P686
P23490	Q80WT2	D4A9U4	A3KN01	F1PN09
O60346	Q9Z0Z7	Q6P503	-	-
Q86XR7	Q8BPM2	D3ZXX4	A7YW25	F1PAE8
Q96EP0	Q8VDQ8	Q6P799	A2VDU2	E2QUS5
Q969M1	Q91V79	D4A135	A0A140T836	E2RKP0
Q9NWB6	O70480	P20781	Q148H2	E2R0Z2
O43298	P42586	G3V8S6	A6QP30	F1PRA0
Q9BWP8	B1ATC3	Q5I0J4	Q1JPG7	F1PVU5
Q8TBZ2	P15656	G3V7X2	P98072	F1Q090
Q9NP90	Q810P8	-	-	-
Q7Z6M3	Q3UV16	P97604	Q5E9C1	E2RA98
A0A0U1RQV1	P01631	-	-	-
P43626	E9QKY4	Q6MG84	E1BE57	F1PA95
O43521	P10493	D3ZMR1	O97764	F1PB88
P45954	P34968	A0A0G2K972	F1N437	F1PCI7
Q9NQE7	Q2TA50	P21643	Q3B7N6	E2RCA5
Q99743	Q8VE70	-	-	-
Q8IZQ1	A0A0R4J104	G3V9W2	A5PKJ5	-
O15040	Q8VI94	Q6AYC5	G3MWR7	F1PXF8
Q9ULX3	Q3UVD5	Q9QWM1	H9GW44	F1PTD7
P13051	P28741	B2GVB9	A5D7P7	F1Q0J7
Q9NQ34	Q8R2Q8	B5DF41	A2VDS0	J9PB98
P00797	P04939	P25094	F1MQP7	F1PT99
Q8N4L8	Q810S1	O35763	F1MFD0	F1PIB2
P23368	O88967	D3ZAR9	Q0P5M9	E2R0N5
Q6ZMB5	Q3U6B2	Q5BJY3	F1MZ05	E2RDF1
Q9NVY6	D3YVH8	D3ZAU3	Q0P5G1	E2RN60
O95302	Q3TZZ7	-	-	-
Q14031	Q9CQM5	-	-	-
Q01804	Q8K0V4	D3ZYT2	P15103	E2QRV0
O95825	Q8K190	A0A0G2K211	A0JNF9	E2QXT7
Q6ICG6	Q9CWF2	D4A2G4	-	-
Q9NZ71	Q99L48	F1LNT1	P82922	F1Q3T1
P11487	Q9JHX6	A0A0G2JU85	E1BDQ5	E2RTK1
P31151	Q8VC73	F1M2Y6	F1N282	E2REV4
O95861	P08226	Q6IMX4	E1B8Z3	E2R526
Q9UJA3	Q9CRB8	D4A3S0	P82929	J9NYC8
Q8IZ40	Q80Y14	D4A4I9	E1BEY2	E2RGF8
O14798	Q9D1R1	-	-	-
P31629	G3X9B7	D4A820	E1BFN4	F1PP27
Q8WXU2	P97817	A0A0G2JW83	Q17QL7	F6V9D7
P36954	O88531	Q569C3	F1N591	E2RAD4
Q16206	Q9D328	F1LP56	E1BHA0	E2REQ9
Q96E09	O08523	-	-	-
Q9BXG8	Q921W4	G3V8W1	E1BNR9	J9NXS6
O00237	Q8VHV1	G3V877	A2VDU6	F1Q3A6
Q9UPT9	Q99JT2	D3ZBN3	F1MHT3	J9P315
O15182	D3YTQ5	A0A0G2JXC2	F1MC18	E2R075
Q53S33	Q922K9	F1LNG8	E1B7S0	F1PJY1
Q9H0P0	A0A0G2JEA7	A0A0G2K086	F1MMT4	J9P7A2
P14416	Q920H1	-	-	-
Q5T9L3	Q6NZQ6	-	-	-
Q6IQ16	Q8JZX3	A2RRU0	-	-
Q06210	Q8BZR9	Q496Z0	Q2KI13	E2RCU9
Q8TAG9	Q3UH93	D3ZVU7	E1BN18	J9P5W2
P42702	Q78HU7	D3ZQB6	E1B706	H9GWP9
O60673	Q9JK48	G3V6G5	A1L539	E2R4I1
P51452	Q8VD37	-	-	-
Q6P280	Q9QZ09	Q566E5	F1N5V9	F1PYM6
Q9Y619	P52963	D4A0V7	Q5NDF2	J9P5N7
Q03252	Q8BVE8	F1LQW8	Q08DF4	E2QSE3
P13236	Q921C5	A0A0G2K4P0	E1BD38	E2RQI3
P32302	P52633	A1L1I3	G3N3T9	J9NYI3
A2RUU4	P52793	Q6DGG4	E1BMS0	U3JA26
Q8NEW0	Q9D485	F8WG91	E1BN78	E2QWG0
O15481	Q1EG27	D3ZUB7	P82915	E2RRY6
Q9BYN7	O70354	D3ZX06	P13213	E2QVR2
Q13571	O35423	F1LVF0	E1BIU5	J9NXV0
Q9H0E3	Q61102	G3V6A0	P29473	E2R6L3
B5ME19	Q14AX6	F7EZ89	F1MX67	E2RC55
P30419	J3QK52	-	-	-
P62875	H7BX60	D4AAB9	F1MZ33	F6Y3K9
O14830	Q80WQ2	A0A0G2K717	F1MCZ2	F1PXG5
Q9BXR0	Q9R038	P62824	Q08DN3	F1PLE9
Q8TAE6	A0A0A0MQ92	-	-	-
P32239	Q60948	Z4YNI9	Q5KTP6	E2RT03
Q70CQ1	Q6P5E6	A0A0G2K1R4	E1BAY5	F1PQ57
O00472	Q62203	D3ZRD9	E1B7E6	F1PGG7
P15516	Q8BQP8	D3ZWU2	E1B8S0	E2RA80
Q8TAX7	Q8R3B1	-	-	-
Q96EV2	Q91WG3	A0A0G2K1S6	F1MZ73	F1P627
P0C0S8	O54950	F7EZZ0	F6Q087	F1PTU2
O43295	Q9QYH6	D4AEH9	E1B777	E2QXX4
Q8TAA9	P63094	-	-	-
P08567	Q99M03	F1M7W5	F1MVM4	J9P066
Q9UQB8	P49117	G3V9N7	E1BAN8	E2R410
Q63HK5	Q8BVN9	A0A0H2UHS4	E1B901	E2RPS2
Q15061	Q8CB77	F1LRC6	-	-
O14807	Q69ZZ6	P05371	E1BC09	E2R8W6
Q8TEU7	Q9JI70	Q920Q0	Q1RMH9	F1PAW8
Q9BW62	Q9D2W5	A0A0G2JVG4	Q3T156	F1PL34
Q9H853	J3KMG9	Q6P2A4	E1BBV0	F6XZG7
Q8WX92	Q5BU09	D3ZTT1	-	-
Q16649	P51683	A0A0H2UHE9	F1MWF9	E2RF71
Q05952	D3YU50	A0A0G2K995	F1N4I1	E2RRS9
P03915	Q9DD06	-	-	-
P50443	Q64691	A0A0G2JSJ4	E1BM14	E2R4F6
Q8NA19	G5E897	D3ZV99	F6QN63	E2RTA1
Q9P2M4	Q8C6B2	Q6AYY8	E1BJM5	F1PRE9
Q8N4T0	Q3UBZ5	A0A096MJU6	F1MB54	F6V6J5
