O15116	Q6IWE2	D3Z9A7	E1BAZ2	F6UP55
Q9UNH5	A2AJQ3	-	-	-
O60234	E9QLB8	Q9WVJ4	P29105	J9P233
A2RRN7	P30558	A0JPN5	Q58DN0	E2RFI7
Q0P5P2	Q8VHI5	F1M8L4	G5E513	E2RP88
Q14739	Q920Q8	B5DF29	F1MM78	F1PTL1
Q6UXE8	J3KMQ5	F1M7Z1	Q2LGB6	E2R520
Q01850	E9PUD6	D3ZGY2	G3MW05	E2R608
Q5JTD0	P32921	G3V7T3	F1MWV6	F1PPT2
P56282	Q8BP31	Q6AY94	Q17QM8	F1P677
Q8N8M0	Q80WJ6	G3V7T4	F1MUF6	J9NSI2
Q9NTZ6	Q91W90	-	-	-
A1L157	Z4YKJ7	D4A9F4	E1BJ33	J9NX50
P49915	P61804	F6Q5K7	-	-
Q6JEL2	Q6PJN8	Q5XIK4	Q2YDJ4	E2R7B0
Q8IZM6	Q9WVP6	Q6UE39	F1N6M1	F1PC12
Q5SRI9	P60154	O55227	F1MIZ2	F1PKW8
Q9NQR1	Q62407	Q5FVI5	A1A4L0	J9P4U7
Q96QS6	Q9D7I9	M0R4U8	Q3MHY8	F1PS22
Q68DV7	P46062	D3Z9I2	P10861	E2RKT8
Q9NWZ8	A0A0R4J0D1	A0A0G2K5U3	Q2TA03	E2RJF4
Q96C55	P97305	D3ZS67	Q6DTZ8	J9P8T3
Q9BYR7	Q9CQ35	D3ZJA8	F1N518	F1Q2A4
Q8WXE0	B2RX14	D3Z9R2	A6QLF0	E2RDZ0
P08185	Q924I3	G3V9J9	P04696	F1PRI8
Q92791	Q3V3I2	P43425	A6QLF9	F1PWQ2
Q16585	Q3TV70	Q6AYF9	-	-
Q9UI42	Q8CDE2	Q3MKQ2	Q2T9Z5	E2RQD7
Q9H3N1	A0A0M3U1B0	P15387	-	-
Q96LD8	Q00288	D3Z8F1	F1MKX8	E2QU95
Q9Y6N6	Q9WVB4	Q7TQM3	F1MAV3	E2RKE9
Q03924	Q9ERS7	P04775	A5PJ69	F1PRH2
Q96BD6	Q8CBD1	D4A105	E1BFG7	E2RQH0
P43235	Q91XX2	Q04666	O97593	E2R5L2
Q8WVX9	Q3UP24	P14604	-	-
O00585	P70354	D4ADL7	G3MX53	J9P2S0
P61803	Q8R1G2	G3V614	-	-
P30679	Q6GQU2	Q63691	E1BE60	J9NVX2
Q8N1G1	P61807	P47864	-	-
Q5T8P6	Q9CR62	-	-	-
Q8WVZ1	P09542	F1LNT5	A0JN83	J9P1M4
Q8N668	Q8BVV7	-	-	-
P20138	A6H619	F1LP26	G3MXS7	E2RRG4
Q12840	P61922	Q5XIT1	F1MD25	E2RR08
Q9Y2V7	Q922H1	Q9WV48	G5E624	E2R8F6
P19652	P00158	-	-	-
Q9P2E8	Q31216	P15207	F1MG93	F1PXP2
Q9NZH6	Q8BMU5	A0A0G2K8V6	G3X730	E2RII7
Q7Z4U5	P04228	Q63663	F1MB06	E2R915
P40306	Q8BWU8	Q5FVL0	E1BBA0	F1P856
Q86SG5	Q8VHQ4	D3ZQZ0	-	-
P57059	Q8K368	G3V7T0	Q3SZK8	E2QW92
Q9UKT5	E9PZP8	B2GUZ2	F1MXZ5	F6XWH0
P10826	E9QL43	Q62769	-	-
P08183	Q9D8Y8	F1M1D5	F1N7Q0	E2R2V6
Q96HT8	D3Z3H1	G3V6I4	Q3T0Y8	E2RRV0
Q86YV5	Q8C2A2	D4AC97	E1B9Y5	J9P5W2
O75907	A2APX8	Q6IMA7	A5D7P4	E2R8T1
P30536	O08738	E9PSR6	F1MDD8	F1PIF2
Q9H3K6	Q6P2L7	F1M6W2	F1N0S1	J9P149
Q9UKM7	Q8VIF2	G3V7I7	P55918	E2RQ47
Q9UBP5	Q99ML8	-	-	-
Q9BXY8	P16390	A0A0G2K744	Q2KI40	Q9XSV3
Q92876	Q8VEG4	D3ZVR4	A4IF78	F6XFF5
O60566	Q543V3	A9CMB8	G3MW14	F1PEI3
Q9H6H4	Q7TS99	Q6P777	E1BIX3	F1Q404
O60476	E0CY86	Q920M2	F1N734	F6XL96
O00470	P39654	-	-	-
Q8NEJ0	Q7TSG1	G3V8J4	F1N1R4	F6UX21
Q9H972	Q99J31	Q7TSA0	F1MW69	F1PX36
Q14149	Q9Z2H7	G3V7L4	F1MMR8	F1P607
Q86X10	Q8VII8	G3V856	A7Z050	F1PCV7
Q9UJ71	Q9CWU5	Q5PQL1	Q2M2S2	F1PW94
Q9BSW7	Q91VU8	-	-	-
Q569K6	Q9D1D1	F1M0F6	Q8MJG0	F1P9F1
Q8IW40	Q5EBG4	F1M8H2	F1MJR2	J9P8Y3
Q92519	P33896	-	-	-
Q9NS87	E9QM73	D3ZT52	A2VDS4	F2Z4P5
P39880	Q62384	D3ZU51	-	-
Q9H165	Q5ND56	P60713	-	-
Q16270	P16110	A0A0G2QC55	F1MQ44	E2QZH8
P18428	Q91W86	D3ZJE0	Q58CZ2	F1PFF7
Q6IA98	P23738	Q5BK52	F1MZ76	F1PLQ3
O15217	O89112	D4A4Z9	F1MXZ6	E2RKN3
P05181	G5E8J6	D4ADG9	E1BFI5	E2RGU7
Q92547	O35671	D4ABP4	F1MTC3	F1PYK5
Q8TDR2	Q9R0N8	-	-	-
Q9Y5X3	Q8K2H3	Q5BKE0	Q5E960	E2R0V0
Q96H72	O55179	D3ZS55	F1N6T0	E2QX06
P55011	P55200	F1LS25	G3MYQ0	E2RFS6
Q9UHA2	Q9Z0L3	-	-	-
Q9HB65	Q9JJ78	-	-	-
Q9Y235	Q53Z09	G3V769	-	-
Q9H488	Q8C708	Q794F9	Q08DX3	F1P717
P06737	Q9WVC6	G3V6W7	Q3T035	F1PSC1
Q9BZ11	P31786	Q498C7	Q2KIB6	F1PQM8
P54652	F8VQ87	O35346	E1B8L7	F1P7L6
Q96A84	P10629	Q6IUR5	Q29RH6	F1PM89
Q5VYV7	Q99MZ6	B2RYB8	A6H733	F1PRB7
Q15813	Q920D7	D4A050	E1BLL9	F1Q1C6
Q58FG0	Q99PS0	Q5XFV8	F1N6Y3	E2RR38
Q14153	Q9Z1K7	F1LMK4	G3MXF3	Q71DR4
Q8WTR7	Q8BGQ6	Q5QD25	E1BNS0	F1PJ27
Q8TDW4	O35308	O70531	-	-
Q9BTN0	B2RW38	D3ZYF2	E1BN11	F1PMS7
Q9BSC4	O70172	Q920G0	E1BD52	E2RS54
Q9Y5T4	Q62053	D3ZQC1	F1MQP6	J9P076
P11712	Q684R7	O88506	F1MRT3	F1PR56
P33261	Q9D8U4	Q32PZ9	E1BF12	J9NV49
Q96FN4	Q91VJ5	Q5HZA2	-	-
P0CG13	P70661	-	-	-
Q14165	Q9D952	A0A0G2K9J0	A7YY45	L7N094
Q9Y375	Q80Y81	D4A518	Q2T9Y0	J9NYG9
O00330	Q80W22	A2VCW5	A5D7L1	E2RA92
Q96PE1	Q8BSP2	-	-	-
O75631	Q8BJU2	Q9JK72	E1BAA4	E2RM62
Q8N695	Q8BGV7	-	-	-
Q92828	Q8C0P5	Q5U2Y2	F1N6M9	E2RKM6
Q9UKB5	Q5DU02	F1LME7	F1MSN5	J9NZW6
Q13478	D3YZP6	B1WBW7	F1N2P9	F1P8R7
Q6FGL6	E9PV87	Q63092	O18824	E2R5E9
P15309	Q5SUF7	D3ZT01	Q3T0W0	F1PEK4
Q86SE9	Q9CRD2	Q4V7C1	Q0VCP0	F1P9P7
Q6P2I7	P48540	Q5FWT7	Q6YFP9	F1Q212
Q7Z4F1	Q9CR14	-	-	-
Q9UKL3	Q9QXT6	P17777	F1N2T5	J9NY58
Q2M1P5	Q8BWD2	O08949	Q3MHE1	F1Q1B1
Q16610	P42669	P62749	F1MK61	E2R2K6
Q9UJ83	Q8BHD4	Q9JJZ1	A2VDU5	J9P2Z2
Q9H7H0	Q9DB91	B5DF97	Q17QH7	E2R8Z4
P15529	A0A1D5RME2	Q71FD8	P41985	E2R5Q3
Q9BXJ2	Q8BIP0	G3V6I0	A2VE75	E2RSQ3
Q6PKC3	O35566	P00388	F1MDL1	A0A0A0MPB2
O43615	Q91VI7	A0A0G2K4Q4	Q58DN1	F1PAR7
Q9Y5P4	O70361	A0A0G2K7Z6	E1BMI4	E2R1W5
Q9BX67	Q8C8Y5	-	-	-
Q96HA4	Q99JG3	D3ZPZ3	A5PK34	F1PFJ7
Q9Y2R5	Q8VEJ1	D3ZBZ7	F1MQC6	J9PAG6
Q9HAV4	F6ZS70	O35115	P79132	F6Y5W4
A6NED2	Q9ER62	Q499U2	F1N2N8	E2RMI2
Q9BQ13	Q564G0	G3V9F5	G3N2A9	J9P324
Q6UXX9	Q9QXC6	Q561K2	F1N2L6	E2RNT4
Q75T13	Q8K157	Q6IFZ5	E1BPL5	-
Q9NYA1	Q8BFQ4	F1MAN8	F1N6G8	E2QT43
P21757	Q99JX1	-	-	-
P13942	O70133	Q6AYT0	Q3ZBG4	F1PB71
Q8WXD9	Q8BGU5	A0A0G2K2Y3	F1N0F3	E2R525
Q96PY5	Q9CZT6	D4A8N1	F1MNW2	E2RN47
A8K3Q9	Q9QZQ3	F1LWU7	-	-
K7EL21	Q8CGA0	Q5RJY4	E1BPY6	F1PUL4
O76070	Q8CHT3	A0A0G2K5I8	F1MH27	F1P8T3
Q9H3S1	Q80U44	D4ABU4	F1MKA1	E2RQ74
Q9H1K6	Q8CDL9	D3ZVD1	F1MUQ4	E2R571
Q9GZN7	A0A140LJ72	Q01062	Q3ZBB0	E2RIV3
Q9NZA1	O54784	B2RZ26	F1MQ57	F1P6P1
P35318	E0CZ56	D4A9M7	A2VEA2	F1Q381
Q96RD7	Q9D844	M0RAL0	B3FXL5	F1PM59
P0DPB6	Q9CWM2	Q7TPK6	G3X749	F1PER6
Q3B726	Q9DCM0	Q6MG85	-	-
Q15054	E9QJS7	-	-	-
Q6ZT98	Q3UGS4	B2RYE1	E1BHL6	E2RAV5
Q96SY0	Q148W0	Q494T4	A5D7J9	E2R047
Q9BVQ7	P60670	Q5XIT5	F1N4M5	J9P7Z1
Q9H0C8	Q922B1	D3ZUX1	Q3SYT0	F1PHI7
Q86SW1	Q99JB5	A0A0G2JVI4	E1B8I9	J9NVP1
Q9H6X2	D3YYC3	D3ZY28	E1BLW4	J9P423
Q9UPQ7	Q61357	Q9ESS6	E1BPY0	F1PGW5
Q9H1P3	P56402	Q7TT51	Q0VBY0	-
Q8N114	G3X8V6	D3ZRJ0	F1MQV2	J9P3L8
O95716	O35450	D3Z8N4	A6QR69	E2QVB0
Q96AD5	Q9DBX3	Q8K3P6	Q3ZCC8	J9P865
Q6P4J0	Q8BNX1	D1M8S3	G8JKY2	E2R7X4
Q8IU68	B2RXC8	A0A0G2K7Q4	E1B7G2	E2R542
Q2M2E3	Q6IQY5	A0A140UHX6	E1BDB8	F1Q1I1
P55008	Q9JHB3	Q5U2W9	E1BNB7	F6UXL3
Q96LI6	P61205	O89035	Q2TBX9	E2QXA1
P55851	Q99K95	Q4KM86	B2NIZ2	E2RDZ5
Q9H4H8	Q8BYP3	F1LR71	F1MLB5	E2R770
Q9H6L4	Q8BG34	G3V9J7	Q2KHV7	E2QWA6
Q13118	A0A1B0GRR9	P05554	F1MB93	J9PB65
Q86UY6	Q921X9	A0A0G2K0J7	E1BB89	H9GWD1
P22894	Q3UGM2	P00159	F1MKS5	E2R5X6
Q96GW7	P31649	Q5RJR8	G3N1T1	F1PK78
P05112	P70396	Q8R2H0	F6R9X6	F1PQ85
Q96KE9	A0A0R4J0F7	D3ZY03	E1BPA9	E2R4R2
Q86Y01	F8WJ93	Q9Z1Z1	F1MV22	F1PFB5
Q9HCS5	Q68ED7	A0A0G2JW29	G3N278	F1PHL7
Q9HC73	Q810L4	D3ZTZ0	E1BF93	F1PVL2
Q5SRE5	A0A0R4J1F5	B2RYP4	Q5E9U1	F1PWE0
O43914	Q61521	Q68G28	Q24K21	F1PQK9
Q9NZC2	P24472	P07727	F1MJJ1	F1PGU2
Q7L8S5	Q9D529	A0A0G2K464	A6QQ95	E2R9E7
Q59G26	Q920T9	A0A0G2JSW7	F1MN39	E2R4Y7
Q96G21	Q0KL02	-	-	-
Q96L58	Q62179	Q9ESQ4	A6QQ66	F1Q3D6
P28329	Q3UR50	F1LZ91	F1N0G9	F1PRK0
Q96DF8	E9PWW9	D3ZRU9	Q3SYW6	F1P9C3
P0C2W1	Q8BHJ9	P30543	Q0VCS2	E2QX17
Q86SS6	Q14DH7	F1LVS9	F1MXC4	E2RLF6
Q7Z7J5	Q61578	Q3HS82	A6QNV6	-
Q8TDZ2	Q61066	D3ZC46	P07353	F1Q2K6
P12277	Q9CQA3	D3ZVQ0	F1MMZ9	F1PSC0
Q8TC27	Q8K083	D4AAU5	F1MQ86	E2RLF1
Q8N7B6	O89020	A0A0G2K023	A6H7F3	F1PN88
Q96CN7	Q99N18	D4A2N1	Q5EAE6	J9P7X2
P05019	O09118	A0A0G2KB69	E1BM28	E2R830
P24593	O55033	P47858	Q56JZ0	E2RTM4
Q59GQ8	Q61039	F1M9G8	F1N643	J9P3R8
Q6UXU6	A0A1L1SSF2	E9PTS7	F1MIJ1	E2RK17
Q6AZY7	Q9Z2Q2	Q7TQ85	E1B7L9	F6V8V7
Q9UJD0	P97794	G3V7Z5	G3N2V2	J9NUW1
B2RU33	Q3V2E0	-	-	-
P43628	Q8BMC3	D4A9Q0	P79331	E2R5F0
O75874	B9EJ22	F1LMR4	F1MN74	F1PEE3
O95571	P97873	A0A0G2K2W8	F1N7U5	F1PQS8
Q02318	Q8K424	P23897	P20414	Q7YRU7
Q86WZ6	Q8BYF6	Q4VSI4	F1MF62	E2RKW1
Q02535	Q3UMB9	Q68FS1	-	-
Q86TW2	A2AE94	F7EWS7	-	-
Q01726	P28571	A0A0G2JXF9	E1BG95	F1Q271
Q9BZC1	Q571F5	A0A0G2K808	F1MSS2	F1PLL1
Q96KS0	Q99J45	D3ZS02	-	-
Q8WXD5	P62743	Q68G39	G3MZ54	F6V6A9
Q96CX2	Q8BN78	A0A0G2JZY0	A2VDP0	E2R3R0
Q8TAM1	A2AFS3	Q9WU11	F1N1R2	F1P6R0
Q7L311	A0A1Y7VNM7	D3ZEN0	F1MHJ3	F1P991
O94992	Q99KN1	Q66H23	F1MWI8	E2RN94
Q9H3Z4	P70390	D3ZCM9	Q2KI48	E2R694
A6NI79	Q60837	P62271	Q3T081	E2RM97
Q8N2K1	Q922B9	-	-	-
Q9BR09	Q8R1I1	P16310	Q9MZ08	F1PWV9
Q9BYQ2	Q8K0L3	Q9JJ50	P30404	E2RCX6
Q96BJ8	Q91V24	P30680	F1MUP3	E2R3T3
Q5J8M3	Q922E4	D3ZC55	Q7YRE7	J9NXT2
Q7RTU3	Q9ESN6	P50233	Q8HYR6	F1Q1K9
Q7L5N7	Q9DBY0	P19377	-	-
P03905	Q8BH43	D4A565	P12344	E2RSD7
Q15003	Q7TMK6	D4ACR8	Q2KIT4	E2RCE4
O60296	E9QK36	A0A140TAC7	G8JKW0	J9PBK3
Q9HBR3	Q91VC9	M0R4T2	Q2NKW0	E2RN05
O75054	O35424	Q5RJN3	Q5E9V1	E2RDK2
Q8N9U0	A0A0R4J217	D3Z9L5	F1MY69	E2R518
Q99547	Q91XA2	Q923I8	F1N158	F1PV69
Q9C019	Q99N90	-	-	-
Q53R12	O70306	A0A0G2K8A5	F1N363	J9P896
P42785	O88786	Q3KRD1	A5PK98	F1Q2L0
Q96GX5	P97364	G3V7E3	F6QK33	E2RGW9
Q9UKA1	Q9ESK9	Q5U2N0	-	-
Q8TF66	Q8BHE3	D3ZZ26	A5PKF5	E2R3Q3
O15121	Q8BHY8	Q68FU6	G3N243	E2QWZ9
O75908	Q9D4R7	F1M0G5	F1MHY8	J9P8K8
Q2M3D2	Q7TMF3	D4A3S7	F1MNN1	F1Q2Y0
Q8IWT6	Q9JIY5	F1M5M9	Q1RML9	F1PLJ1
Q92572	Q99MY0	-	-	-
Q14331	A0A0G2JEA5	D4A7D6	G3MWL3	E2QTD8
Q8TDY4	Q9D219	Q497C4	F1N0A4	E2R054
Q86TI2	P23949	D3ZWE7	E1B7M7	E2R7B9
Q96GM1	Q505K2	B2GV39	F1N0W8	J9NVJ8
Q8IYS2	Q3UFQ5	D4A1S9	Q58CS7	J9NZ88
P0CJ78	Q6NXZ1	F1M6W4	G5E5F9	J9P1P5
Q9BRN9	Q6PGC7	A0A0H2UHE2	E1BLN1	F1PLP5
Q9UDX5	Q8R4E4	B0BNM4	F1MUB2	E2RLX9
P11169	Q62151	-	-	-
P08572	Q8JZM4	D4A715	F6R352	E2RJH7
Q8NC60	Q5SUC9	D3ZC15	F1MPU9	J9NVQ2
Q6ZQW0	D6RGR1	Q78E60	F1MQ30	P23685
Q9Y4X4	Q8R4Y4	P12843	E1B7V7	F1PLV3
Q9H2M9	P51667	Q9WU74	Q9TS87	E2RL82
Q8TCT0	Q9CQU0	Q2M2S1	E1BN97	J9P3K5
Q5T8I9	Q8BH35	A0A0G2JXY7	-	-
Q9BY49	Q6NZK5	A0A0G2K6I6	G3X7R9	E2R6N2
Q13472	Q68FM6	Q9WTP0	-	-
O43405	Q91X23	D3ZTR4	F1MX94	J9P3H7
Q9BU76	Q8R050	Q5EBC7	F1MN23	F1PF23
Q9H2Y7	P49582	G3V966	F1N098	F1PD80
Q969K3	O54788	A0A0G2K4P8	-	-
Q8N442	E9QP94	M0RA52	A6QLR8	E2RFD8
Q9H7N4	P60330	Q5I0I1	Q0P5I0	E2QW25
Q53EL6	Q8R349	D3ZAI0	Q148J4	F1P985
P61296	Q9CQE5	D4A1W6	F1MTH7	E2RTM5
Q5JU69	Q925D8	Q7M6Y9	F6RDV6	E2RNC1
Q8N3X1	A0A0R4IZY0	P41740	G3MZI6	P92604
Q9UHV8	Q9D132	Q3T1H6	G3MX34	-
Q8N3D4	A0A0R4J0E9	D4A916	-	-
Q86YN1	Q8BHG3	Q4V8A0	A6QR47	F1P8P2
Q6PJW8	Q8K159	D4ACB6	Q3ZBF0	C6L8D7
Q92805	Q05CR0	Q8K1M5	-	-
Q9H2G4	Q8BNI4	D3ZPF0	Q05B89	E2RIS1
Q9HBM0	P97306	G3V6M4	Q29RU9	F6XCG9
Q0VAB1	Q9CR21	D3ZQL1	Q5E9A1	E2RFH6
Q96LJ7	O35367	D4A8F6	E1B8D7	E2RDY4
Q9BUE6	Q3U2J5	F1MA54	E1BHK0	F1PBA6
Q3SX64	Q91XZ7	Q4QR82	G5E523	F1PL35
P03973	Q99L27	D4AC25	A7E330	J9NY44
Q8N5S9	Q6X893	D3ZTA8	Q5BIP4	F1PW85
Q96CA5	E9QNX7	G3V9S3	F1MNQ8	F1PGI5
P16401	P10085	F1LN87	F1MXE4	J9P7A9
Q8NHY6	Q8K0B2	-	-	-
Q9C0H6	P28184	D4ADU2	Q17QI1	E2RMW8
Q0VGE8	Q9Z2Y2	D4AA94	G3X7A0	E2RAH7
Q13409	O54829	D4A8X8	F1N1H5	F6UZG3
Q96E52	O55230	D3ZU88	E1BFW9	F1PLP2
Q13275	Q9CQB5	D3ZJ01	A6H725	E2RCV4
P15170	Q8K268	Q5U202	G5E5S2	E2R198
Q96LJ8	Q9Z1F9	Q68FX0	-	-
Q9Y5G8	Q6NS86	G3V884	E1BDU6	J9NXN9
O43813	P70671	Q4QR75	F1MFX7	E2RN16
Q14554	Q61581	D4A0T8	A4IFA7	F1Q3P8
Q16627	Q9WTZ1	D3ZVE5	F1MW29	E2QUZ5
O75444	A0A0U1RQ40	F1LRS1	F1MJ80	F1PAP2
O95848	Q8BM65	E9PU17	Q27954	E2QTY4
Q86UY8	Q9D3P8	F1M610	G3N0I5	F1PKU4
Q9H857	Q9JMK0	F1M1H0	E1BB04	F1PCD6
Q14154	Q8K045	P04177	Q3T0M2	Q9BDQ4
Q9BTY7	Q497I4	G3V979	P27479	F1PEM7
Q9H3H1	A0A0G2JE90	A0A0G2JYP2	E1BPB7	J9NX80
Q14973	Q6PD19	D3ZV30	Q2KI80	E2QZN8
Q86VG3	Q6JVL5	Q498M5	E1BPP2	F1PCH2
Q16829	P08046	Q5XIC2	E1BE86	E2REA3
Q8N8D1	P35831	D3ZL86	E1BG11	E2R1V3
Q9Y2I8	Q91ZX7	P18420	F1MM17	J9P737
Q7Z5K2	E9PZI6	-	-	-
P56378	Q8C5W0	D3ZCK4	F1MGH5	F6V9M3
Q8NEV8	F6YK91	-	-	-
P30533	Q9Z2D8	A0A0G2K3Q5	Q0VCA1	E2QWQ6
Q9UJX0	Q8CIS0	F1LMY4	G3MWW7	F1P8S6
Q9BR11	Q99LI5	Q5XIQ8	A7MB79	J9NV68
Q6RVD6	Q9QXY1	B2RZ41	F1MU34	E2RI92
P42857	Q3UFT3	-	-	-
Q8IXX5	Q91YL7	A0A0G2KA97	Q2KIM1	J9PAV0
Q8N8Q3	Q6ZQ03	A0A0G2K248	F1MZE4	-
Q96AW1	P30677	Q9QYV8	E1BHL8	E2QXP5
Q8IWB4	E9QKE5	Q99M88	F1N2E4	E2RIY3
Q8WUP2	Q8R0V5	A0A0H2UHU3	E1BB43	J9NV29
Q9UHN6	Q9D1J1	B0K010	E1BK71	E2R9L0
Q9NPE2	Q5XJY5	F1LSX7	E1BMI0	F1Q0N9
Q9UGI9	Q9Z138	Q68FZ8	Q2KIS5	E2QSZ0
Q15072	P02104	F1LNG8	F1MT63	E2RBP5
Q3SXP7	P20764	-	-	-
Q5H9L4	Q80YG3	A0A0G2K008	Q2KJG8	F1P9R5
O43933	Q91YE8	Q68G38	Q58CX2	F6UN31
Q86WK6	Q8VIB5	-	-	-
P17752	Q3U827	F1M0R6	F1MS45	H9GWF7
P48146	Q921I0	P24898	E1B9W6	E2RGW0
Q9C0A0	O70578	G3V628	F1N4K6	E2REP0
Q9BRD0	Q922R0	P61214	E1BM83	E2RQV3
Q86YB8	P51865	A0A0G2K8M7	Q32LF7	Q076A5
O00187	Q6PG04	Q4Z8P1	Q8HZT2	F6XU41
Q96E39	Q8C5V5	Q4QQR7	F1MJH3	F1P6H6
Q8WYK2	Q8BJW6	F1M951	E1BEZ8	F6Y0P3
P15259	Q8CJ00	-	-	-
Q9Y4F5	Q9Z0R9	A0A0G2K302	Q17QJ2	F6XSY4
Q6NW34	A0A087WPY4	Q4V7C4	-	-
P18089	H3BKN2	Q5M880	F1MXD4	F1PL60
Q9NQZ5	Q8VC30	Q99MI7	E1BNU2	F6XPA4
O76074	G3X8S2	B0BNG5	G3X7A5	F1PU32
Q9HAC8	A2AMZ4	-	-	-
Q6DHV7	P42581	Q6TXJ0	A6H706	F1P643
P18507	Q1EHW4	E9PTL5	A4IFP3	E2RAP3
P17041	Q9ESD6	-	-	-
P61018	Q91W67	P41034	G3X743	J9NSR3
Q8IYX0	P40753	D3ZMM0	F1N4A0	F1PEA3
P20061	D3YUP5	P27952	E1BHD9	E2R961
Q02509	F6ST92	Q63699	-	-
Q8TF40	Q62441	-	-	-
P78310	Q03145	Q496Z3	F1MQ78	F1PNJ4
Q8TDB6	Q3UXL4	D4A7V0	E1BPS4	E2RJ32
Q96JC4	G3X9Z0	Q9EPI2	Q0VCK4	F1PZB4
Q8NB91	Q31184	Q5BK75	E1BL07	F1PYK2
Q9HCL0	Q5SZV5	-	-	-
P04440	F6W0I8	-	-	-
Q6ZMW3	Q8CHH9	P54777	E1BC22	E2RCX3
Q0VD86	Q9D075	M0R6Q6	E1BI35	J9NSA8
Q86YH6	P97346	G3V9M7	F6QLF1	F6Y875
Q8NBR6	Q80SX9	Q63494	Q58DW8	F6V1J0
O43791	O35604	M0R3W4	F1MQG4	F1PTP2
Q07687	Q80XK6	F1LZI7	E1BKJ0	E2RCK4
Q14990	Q61549	D3ZXP1	F1MV68	F1PTZ6
Q9Y3C1	A2AGH6	F1MA87	-	-
Q96PE3	Q68FN3	D3ZWI9	Q5E9Q1	E2RMN9
O00534	P29974	F1LVW9	Q148L6	E2R8L4
Q9H792	F8VQ54	D3ZRN5	F1MNT2	E2RAN8
Q13564	P84096	-	-	-
P22897	Q5XJE5	D3ZER4	Q0P5A5	E2RPN7
P25686	Q99NE5	Q6AY23	F1N7R5	F1PHE1
P50897	Q810K9	Q63054	E1B722	E2R0Q0
Q9UFE4	P15530	P63016	A4FUG9	J9NRU2
Q9Y2Z2	Q9CR42	D4A2T8	E1BPU6	F6UNS4
Q96NW7	A0A0R4J1A6	G3V775	Q58CS6	J9PB04
Q9P2R6	Q8BX90	D3ZS50	Q9TTK8	F1PKF1
Q8TEY7	Q62422	Q1HCL7	E1B893	J9P1K0
Q8N2C7	Q9ES82	G3V6U7	Q1LZD4	E2RPX0
Q9UN72	Q9WTJ8	Q63187	F1MRP1	E2R0J8
Q969S2	P97504	D4A8X6	E1B7T4	E2QYN4
Q9Y397	Q8R4V5	P47752	E1BFT0	J9P835
A8K855	Q5M8N0	D4A853	A4IF90	J9PAF3
Q15506	O08970	D3ZQF4	-	-
Q9BV35	Q149L6	Q7TP51	Q3T024	J9P6X4
P07148	P51436	F1M1D2	F1N308	E2RSX7
Q2M389	Q91YU8	A0A0G2K781	G3X6L2	-
A4FVC0	E9QAW0	G3V9M5	O77627	F1PNB3
O94967	Q7TST5	D3ZQE7	F1N5T0	F1P6U9
Q9BXM0	A2ARP1	-	-	-
Q8NFZ4	Q9CZX0	Q68FV1	-	-
Q6UUV7	Q8BKS9	B2RYJ7	E1BCZ6	F1PAK2
P61371	Q8C0L0	-	-	-
Q9BS40	Q9DAI9	D4ADE4	F1MFZ1	E2QZ51
Q6UW10	Q07231	Q5FVN6	F1N307	-
Q8IUF1	Q8BSV3	D3ZHX3	E1BDQ2	F1PDX8
Q03721	P58459	Q9JI51	A7MBH8	J9NVB4
Q5VU62	Q8BI08	P35281	E1BJM6	F1PDJ2
Q8TAB5	Q8CGA4	F1MAG2	E1B9Q1	J9P7N9
Q13507	O55226	D4A702	A7YVH9	F6UV19
Q8NCP5	E9Q3C1	A0A0G2JT15	F1MZL0	F1PR12
Q9UJP4	Q4QQM5	Q63450	G5E568	F1Q2D9
Q5TDH0	Q91XX7	D3ZCR5	F1MFQ4	E2RFQ1
P29279	Q91V12	D3ZU57	P06836	E2RLE0
Q9ULV1	Q8K2X3	Q91ZN7	H2XJE8	E2R912
O00428	Q5SSM3	Q5I0H9	G3N132	E2R2G5
P40616	P31266	M0RCH0	E1BPW2	E2RJ61
Q8IVF4	Q9CQB2	A0A0G2K0M8	F1MYG0	E2R818
O00186	Q9DBH5	A0A0G2JU33	F1MG03	F1PLC5
Q96T88	Q9CWI3	Q68FW9	A4FV26	F1PZE5
Q9NWQ4	Q91V01	Q8K589	G3N1L5	E2R7W6
Q9NZU7	E9Q555	D3ZA02	F1N7M6	E2QW49
Q86YT5	Q61354	A0A0G2JTI8	A4FUG6	E2RMV9
Q8WVH0	Q9QWW1	P63149	G3MZ44	E2QZS6
Q9NY15	Q80VM4	Q9R1K8	E1BA56	F1PTQ7
P0CG39	Q80XU8	G3V691	E1BLJ9	E2RBR7
Q16527	Q9CS74	A0A0G2JVP5	P56722	F1PD03
Q14168	Q8BGK0	G3V7G0	F1N353	J9NW26
O43150	Q91YJ3	Q5PQK3	E1BPV8	F1Q158
O15389	Q8BJM7	Q9JHB5	F6RP33	F1PNE4
Q6SZW1	Q9JMI0	D3ZMK6	Q6L708	E2QUD8
Q92764	D3YTR3	Q62677	-	-
Q06945	P08923	D3ZXI0	F1MS27	E2RSR6
P53671	Q91YE7	P15257	-	-
Q99624	Q3UM23	A1L124	-	-
P19532	O88662	-	-	-
Q9Y576	Q8BGT5	G3V696	F1MXB0	E2RAC5
Q8NAV1	Q8BYI6	Q5U2T5	F1N338	E2RC43
Q92833	Q6P5C5	F1LRY2	F1N4M7	E2R9Z6
