B7NZM8	A0A286XBQ9	W5PAQ3	M3WE16	F7BJQ7	F1P6I3	A0A287APW0	P67939	P19139	P97855	P07306
G1SJF2	A0A286XY40	W5PPS1	M3WMT0	F6ZMI7	F1Q3T2	A0A286ZWY0	P02633	Q9EPI2	Q3V0E1	Q0P5T2
G1T443	A0A286XY35	W5Q732	M3X8Y3	F6Z4U0	E2R9D2	A0A287ABE0	E1BMM4	G3V7I8	Q8VEJ4	Q9BUP0
G1T1P1	H0WCT3	W5NYU5	M3W4A8	F6Y646	F1PB02	F1SQG0	F1MT46	M0R6R4	Q8BHD4	Q6PJ21
G1U1H3	H0VAH8	W5QAI0	A0A2I2UCF2	F6T3T9	E2QXA9	A0A287AZT5	F1N0N7	E9PT19	P07147	Q9UNW9
G1TBN3	H0VZ15	W5PTV6	M3X7Z6	F6RS78	J9NXG8	A0A287B7L2	F1N7X5	P97535	Q9JJR6	Q9ULZ9
G1SD33	A0A286XLE6	W5PZ05	M3XF91	F6ZM58	F1P892	A0A287BNY8	E1B820	Q5EB92	Q80VC9	Q7Z408
G1SCK8	H0UXP0	W5NRT6	M3VXR1	F7DYB4	J9P0A6	A0A287A1S1	E1BDE7	G3V7Q6	Q61456	J3JSM9
G1SWY6	A0A286XSX7	W5PTS3	M3W1M4	F6R4M8	E2R7K5	A0A287ACW7	F1MXI0	A0A0G2JSZ4	Q7TMS5	Q76MJ5
G1T2V3	A0A286XBD4	W5NWP0	M3X4T2	F6PR34	E2R7L3	F1RZT4	F1N5E1	D3ZWH2	E9QM92	Q8N6L7
G1SV93	H0VZV8	W5NV57	M3XE64	F6T2P2	E2RIR8	P26445	Q3T075	D4AE69	Q8CE08	Q6AZ91
G1STI6	A0A286XLL8	W5NYJ9	M3W9D0	F7AZB5	J9NY32	F1SIE2	Q2KIJ4	D4A3N0	Q9CQZ5	Q9NRG7
G1SF84	H0W3X0	W5QBF5	M3WS52	F7DJP5	E2RH82	A0A287A508	F1N381	A0A0G2KA11	P33434	Q16719
G1TQ37	A0A286X7L8	W5PN30	A0A2I2U9R0	F7BU09	E2REV8	F1SAN7	A4FV21	M0RDZ7	Q3USG4	Q8WWP7
G1SL22	H0WA94	W5P1A5	M3VWG0	F6USY7	E2R150	A0A287B807	Q0VCF1	G3V6B4	Q8BFY7	Q9Y2T2
G1U6X6	A0A286XUG2	W5NYW0	M3WJ49	F6PMJ7	E2RMS9	F1RFI2	P68102	F1LVV4	Q60972	P20290
G1T295	H0WDN7	W5QAL6	A0A2I2UPR9	F6U877	E2RM30	A0A287AQ33	F1MLR4	D4A830	Q6GQU2	Q05586
G1TGG8	H0VHT4	W5Q9A3	M3VWT5	F6TY61	F1PRD2	A0A286ZID2	P68432	D3ZPA8	Q99LW6	P60369
G1TTN6	H0V262	W5PUQ8	M3WJ13	F7CMH2	E2R5C9	F1RWC3	F1N1R4	Q5M9F7	Q8CD15	O15047
G1U6H4	H0VV34	W5PPU0	A0A2I2UZS9	F7CX95	J9P9M0	F1RVZ3	Q1RMJ7	Q8R5G4	Q8VHQ2	Q96EP0
G1TPV9	H0UUE3	W5PAW4	M3W9X3	F7DWH3	F1P7P5	I3LPB3	E1BDF0	D3ZJM7	Q8VDI1	O43823
G1T3G4	A0A286Y1P3	W5PTT1	A0A2I2UIL4	F6QH14	E2RHH2	F1S2P8	F1MJW4	D4A4Y4	P97458	Q8NEM2
G1U1U7	H0V790	W5PI61	M3WN80	F6TW30	E2RE59	F1RK48	P81126	Q4V8A6	Q8BZW8	Q96MN9
G1SDL6	A0A286XNX6	W5QEV0	A0A2I2UUB3	F6RVP9	E2QX07	A0A287BS62	F1MNA8	P97519	Q6PGH2	Q8N5C7
G1SXQ1	H0VTF6	W5Q8Q6	M3X644	F6Z094	F1Q1P7	F1SDP0	A0JN78	A0A0A0MXZ0	O55047	Q9UKA8
G1SVI6	A0A286Y012	W5QC33	M3WF48	F6XEI8	E2RNT4	F1RTN6	Q1JPG0	F1M9S9	Q8BG19	Q96BR1
G1SS38	A0A286XNV0	W5NQK0	A0A2I2U9A0	F7BTT3	E2R111	F1RZB4	F1MJ18	Q66H33	Q03311	Q9UPR6
G1T024	H0W7I6	W5Q635	M3VY73	F6XLU6	J9NTR8	F1SC81	A5D980	B4F7A9	E9Q2H1	P02751
G1T372	H0V284	W5QBX0	M3WLT7	F6WZ79	F1PDD8	F1SJU8	Q8MJ16	P18598	Q6RI63	P98169
G1SEM5	H0WBU7	W5Q6F5	M3WIY4	F6Z951	F1PMG6	I3L6D3	G3MY74	D3ZQA1	E9QMD2	B3KXU8
G1T6J0	A0A286X9Z1	W5PH80	M3WEY8	F7CFS4	F1PA30	I3LUH7	P07318	B2GUW6	G3X8T9	Q9P241
G1U468	H0VFQ7	W5NVG4	M3VUA1	F6Q698	P33724	F1SNE5	G5E5G9	F1LVV3	P42337	Q8IWB1
G1T0G2	H0UXW7	W5PQD7	M3WCQ7	F7DQB9	E2QUR0	I3LAW2	E1B9W9	A0A140TAF7	O35615	Q96KS9
G1SM95	H0V9X0	W5PDD1	M3WM41	F6UYG8	E2RQ93	F1SQH8	Q58DF9	D3ZZY0	Q8C627	P48061
G1T9G1	A0A286XKZ1	W5Q1E9	A0A2I2UT75	O46542	E2QVP0	A0A286ZRC9	A7MB36	Q6AY46	Q8C6E3	O15492
G1SLD1	A0A286XA72	W5P2V8	M3VVD0	F6SA09	F1PI88	K7GM32	F1MSQ7	B2GV74	P70195	Q96NN9
G1THI1	H0V887	W5NQU9	M3WFE4	F6UFE6	J9P2V0	F1RTH7	A4FV89	Q6AXZ5	Q8BL33	Q16816
G1U707	H0UZA3	W5PEX0	A0A2I2UQF6	H9GZT3	F1P7N4	F1RNM9	Q08DS3	D3ZR22	Q8VE57	O96024
G1U7U9	H0V320	W5P2J2	M3WGW0	F7AMG5	J9NZM1	F1SQU5	F1MPK2	F1M661	Q9QZ03	P61968
G1SLN7	H0VLE7	W5PH37	M3VWU6	F7CWB2	E2R9Q9	A0A287BG25	E1BLC8	Q6IMY1	Q9EPQ1	O15111
G1U9B2	H0VQ20	W5QI63	M3WD25	F6SW18	E2RF13	F1STT5	Q1XF11	A0A0G2K994	Q69ZS6	A0A024R0Y4
G1STD8	H0UXC2	W5PGX1	A0A2I2U0N7	F6YVT0	F6Y625	F1SHB0	A6QM03	Q5M954	Q8BTG6	E5RIL1
P29560	A0A286XG28	W5Q9K2	M3W4L8	F6T452	J9P1L1	I3LN81	G3X7G5	D3ZQC1	Q9D7I8	P15056
G1SG46	A0A286XB13	W5PZQ2	M3X853	F6X3X8	E2RFI5	M3VH81	G3MXM3	Q6I8Q6	F6W8I0	P48029
G1T4Y4	H0VL03	W5Q5N7	M3WW67	F6YXW6	E2REX2	A0A287BNL9	F1MS34	M0RBE5	B2RTM0	Q9BTB7
G1SS35	A0A286XZG1	W5PJI6	A0A2I2U802	F6WFC2	J9P0Q6	A0A286ZJB7	F1N4Q4	A0A096MJV6	Q80ZM3	Q8IVW1
G1SHF8	H0VLY9	W5PDR9	A0A2I2UMJ9	F7AWD8	F1PPW9	I3LV51	Q0VCY5	P48721	Q925G2	H3BS19
G1TA80	H0VQ81	W5PLF0	M3W8E3	F7DHX3	E2R5D2	I3LHB0	O18971	D3Z8X7	Q8VD04	Q07020
G1U2S0	H0VBS9	W5PUY7	M3WLJ4	A8C9U3	F1PD69	I3LHH5	F1MKB9	A0A0G2K2W1	D3Z3Y1	Q7Z3Y7
G1SKL9	A0A286XPF8	W5QH64	M3WH73	F6W8X2	F1PS94	F1RV31	P98133	Q9JI56	Q91W59	Q8NFW8
G1SQ47	A0A286XGT0	W5P1Q0	M3X1W4	F7DMB6	E2R9T9	F1S1U5	Q0VC27	B2GV31	P10605	P19022
G1T2E6	A0A286Y3J6	W5Q6U5	M3X3Q4	F6ZDZ9	E2RT86	F1S7K5	G3MY07	P07943	P33174	Q96M02
G1SLP2	A0A286XXM5	W5P3X7	M3W2Y0	F7C896	D0F1P5	F1RZ19	Q2HJ75	Q4V7C0	P58196	P14091
G1SQK6	H0VQF2	W5PG90	M3VUE1	F7ABP1	E2RL14	F1SF94	G3MXE7	A0JPM2	Q62193	Q9ULS6
G1TC45	H0V642	W5QCI3	M3VUT9	F6TTZ9	E2QYG3	P31950	F1MB84	B0BNB1	P70362	O15247
G1T466	H0UX90	W5PX77	A0A2I2UGS6	F6TJL6	E2RL76	A0A287AJB4	F1MHJ5	O88370	A0A0R4J0F6	Q2V2M9
G1TAJ9	H0W679	W5P5H6	A0A2I2UF21	F6QAM4	F1PBG9	F1SI69	E1B7Y2	P0CI71	Q3UIZ8	Q9H7M9
G1U5S6	H0W676	W5QG76	M3X4Z7	F7CUN1	Q5XX73	A0A287B6A3	G3X6Q8	D3ZWT2	O54885	Q9NWL9
G1TE22	H0VJL0	W5PJW0	A0A2I2USI3	F7CA50	E2QTP4	I3L7I6	E1B7M3	D3ZYF8	Q3UIF3	P01225
G1T4Q2	H0V0B3	W5PM49	M3X0B5	F7BID0	F6XTT5	F1S4C6	E1BGJ9	G3V6E6	Q3UN04	Q96CW9
G1SS99	A0A286Y0L0	W5PMJ9	A0A2I2UM95	F6Z1Y2	E2QUN4	A0A286ZV46	F1MTV3	P29975	Q9Z1D8	P30793
G1T5T8	H0VD68	W5P207	M3XAP3	F7C014	J9NVD2	I3LF60	F1MBA0	D4A1G8	P50540	Q9BUY5
G1TGL9	A0A286XQY3	W5QE11	M3WBN4	F6Y8U1	E2RCU7	A0A286ZUM3	G3N014	Q641W7	Q99LB6	Q9P2E2
G1T020	H0UXB2	W5P014	M3WM11	F6W3Z8	E2RCC6	I3LIF1	A3KMY2	P48548	G3UWB7	Q6IPH7
G1TMP9	A0A286XCF5	W5P550	M3WN75	F6YQZ7	F1PY89	A0A287BR99	A7MBE6	M0R983	Q01727	Q9H3U7
G1SJI7	H0W337	W5PN58	M3X2T4	F7CMT4	H9GWD0	A0A287B0L8	F1N5K7	A0A0H2UHL0	Q61190	Q5UE93
G1SW38	H0VZ87	W5QCZ5	M3W4D2	F7DKX3	E2RE66	F1RG41	F1MI30	D3ZZX2	Q61315	Q9H0K1
G1SM44	H0V3F3	W5P159	A0A2I2V166	F7CIX1	F1PWZ2	F1RZ89	E1BJF3	G3V939	Q9D967	Q9UKC9
G1SH01	A0A286Y2V3	W5PIH7	M3WH68	F6YBT5	F1PUP7	F1SSQ2	F1MRG7	P40307	E9QJU8	P47736
G1TJI5	A0A286XFX2	W5PFB8	M3W2Q5	F6PKU4	E2R1L4	A0A287BMD1	Q58DM3	Q6MG46	O35988	P08236
G1SEB0	A0A286XVX7	W5NRY2	A0A2I2UYK9	F6U3X7	F1P6B2	A0A287A7T9	Q3T0I6	Q675A5	Q8VDG5	Q9BWN1
G1TDF1	H0W4J0	W5PPV4	M3WLU0	F6XFJ1	F1PEC4	A0A287B1M8	F1MBI1	F1LRS1	H3BK33	Q9Y6E0
G1TZ24	H0V2F3	W5P827	M3X5U5	F7BXF0	Q28278	I3L8G6	Q5BIP9	P12389	Q8BTT6	O95487
G1T6N5	H0W9J7	W5Q062	M3WC33	F6T413	E2R4K6	F1SBQ1	E1BKU1	D4ABC6	Q99MY8	P07951
G1T874	H0V3Y3	W5PTX7	M3XG24	F6S077	J9NTC5	F1SCE3	E1B7Y3	Q9Z330	O35228	Q9Y2G0
G1T8T2	H0VHR3	W5PPR9	M3VZD3	F7DR76	J9NRF6	I3LIS2	E1BHK6	D3ZAA9	Q9CXL3	Q4LE39
G1U0I3	A0A286Y5D7	W5PCM8	M3WNB0	F6YTJ7	E2RRE1	A0A287BAE1	Q2NKV2	D4ACZ1	P23198	Q96F63
G1SN54	A3RLE0	W5QIQ7	M3W2H6	F7BEE7	E2RDS3	F1SS21	E1BI97	Q5FVQ0	A0A1B0GSK3	Q8WV74
G1T092	H0WC29	W5P2U2	A0M8T0	F6PLW3	J9P4X9	E2IKQ8	A0JNF3	A0A1W2Q6I6	O70191	Q8N5Y2
G1TS89	H0V8T8	W5QBQ3	M3W6U2	F6UCM7	F6UVS6	A0A287A3L9	Q0VCX3	D4A9Y2	O70157	Q14765
G1SRS4	H0V5E5	W5P865	M3W1M1	F6YFS5	J9P610	M3VH94	Q3T0E0	F7F1Y3	Q99KY4	Q8NG75
G1U6R5	A0A286XA41	W5Q2H3	M3VZA1	F6W811	F1P721	C9K507	A6QPG6	A0A0G2K4P5	E9Q238	Q8NEC5
G1U427	H0VFG9	W5P5Q1	M3WUS4	F6TMT6	F1P719	F1S431	Q3MHI4	A0A0G2K4P8	P60879	Q9NX55
G1SJW2	H0VT12	W5QHF0	M3WBE0	F6W3P9	E2RC52	K7GPQ6	A0A140T8C0	D4A579	Q02085	P09603
G1T9Z5	A0A286XAG6	W5PRG6	M3VVB4	F7C1G1	E2RMV1	A0A287BPQ6	Q1JPC5	D3ZN39	Q9D2H5	Q13588
U3KMG2	A0A286XT57	W5NX28	M3WM17	F6YZ94	F1PU46	I3LSK5	A7Z061	F1M7Y5	P31266	P25054
G1SUQ0	H0W3D9	W5P6U5	M3VW51	F7DZB2	E2QY23	F1SKZ8	C1JZ67	F1M771	O08582	O75683
G1TQM2	H0V242	W5Q0F1	M3WGM9	F6SI82	J9NTQ6	F1RX09	F1MJZ6	D4ABI4	Q8BS09	O43930
G1TG42	A0A286XT75	W5P133	M3W5W8	F7BYU6	J9NXK8	A0A287AUV2	G3X841	O08562	Q9QWG2	O15439
G1TC46	A0A286XI25	W5Q9T5	M3VW58	F6U126	E2RCB9	F1REZ7	E1B8T0	Q64244	Q9QZB0	Q9C0E8
G1TL38	H0V0C6	W5Q0G0	A0A2I2UL16	F7B3E0	E2RST4	F1RQX0	F1N151	G3V6P6	Q9DCD0	P0DN26
G1SQ08	A0A286XP90	W5Q746	A0A2I2UQ46	F7AGS0	J9PBK3	I3LSP3	E1B7K3	B2RYK0	Q924A4	Q9NY56
G1U4Q4	A0A286Y0W5	W5Q6G9	A0A2I2V414	H9GZW5	F1PC19	A0A287A359	F1MZ63	D3ZBL5	Q99LC9	P20292
G1T6S2	A0A286XN37	W5P1V1	M3WP52	F6UCG9	E2RLZ2	A0A287ABW1	F1MGZ7	Q62771	Q9WUZ3	Q15906
G1TWV2	A0A286XG98	W5PDG7	M3WJW2	F6RCR2	F1PXR2	F1RL22	E1BD81	Q6MG84	Q6B9Z0	Q6UY14
G1SU60	H0WA35	W5P646	M3WKF5	F6Z699	E2R1T9	K7GR94	F1MTG7	A0A0G2K9D7	Q61199	P10915
G1SN52	H0VRP0	W5P780	M3WG68	F6YMM5	F1PD77	A7XP20	E1BQ11	F1M455	Q8BLR9	Q07021
G1TCJ2	H0UVK9	W5NSL9	A0A2I2UCH9	F6SWV9	E2R1N0	F1RI76	E1BBI9	P62898	A0A0R4IZY2	Q2VIR3
G1SSA9	A0A286XL03	W5P8A3	M3X246	F7B7T0	E2RC81	A0A286ZT28	F1MV07	P52873	Q9CQA9	P50148
G1SJZ5	H0V1A1	W5PH52	A0A2I2URB8	F6SD16	G1K2D8	F1SQT9	G3MZT8	D3ZRE7	A2APF4	Q9Y2K1
G1T356	A0A286Y292	W5PSX7	A0A2I2UB27	F6YJV0	E2RQ74	F1RU49	Q58DS7	A0A096MK63	J3QNK5	O43304
G1T133	A0A286XBX5	W5Q151	M3W401	F7CSH1	F1P9W3	F1SHQ6	F1MZG7	D4A218	P55271	Q99626
G1T0G9	A0A286Y614	W5Q4Z8	A0A2I2UDB3	F6Y5V0	E2RT25	F1RVK2	E1BCR1	G3V6F6	Q3UHG7	Q8N328
G1TFV2	H0VRK1	W5PXV7	M3WEV7	F7D2I6	E2RD79	I3LVD5	A6QLL8	G3V7U4	Q9DBG6	Q5HYC2
G1SUT3	A0A286XDH1	W5Q950	M3VZJ6	F6YEN2	Q6Y4Q5	F1SF76	A6H707	Q5RJQ8	P58929	Q9HD64
G1SFC6	A0A286XYT6	W5QA91	M3VXR6	F6SDN4	E2RBB4	F1SGS7	F1MPG7	D4AEB4	Q8K224	Q96LK0
G1T8A0	A0A286XBQ0	W5NV89	M3W8Z1	F7AK35	E2RMV3	A0A287BFW0	A6QLH1	Q5PQT5	E9QPZ3	Q5W0Z9
G1SUL3	A0A286X8B7	W5QG18	M3W3L6	F7CFD7	E2RQK4	I3LKV1	P27479	E9PSV7	D3YU50	Q9UHK6
G1U8U1	A0A286Y682	W5PVC7	M3WXW7	F7DZZ0	J9P3E9	F1RYN0	F1N246	D3ZY60	Q8K156	Q8N1G1
G1SZ63	A0A286XBR1	W5PVB6	M3WAI4	F6PII6	F1PMI4	F1SI58	F1MD64	A0A0G2JWJ2	F8VQD1	Q96A05
G1SHS1	H0UTN4	W5P0U8	M3WL25	F7CCR9	F1P7L4	I3LAT5	G3N0X2	A0A0G2K1Z2	Q32P12	P28288
G1T9I4	H0VP25	W5QBY6	M3XDJ0	F7AYB3	F1PCE5	I3LM75	F1MYQ0	D4A9W8	Q9QWH1	P42126
G1TFB5	H0WD15	W5NXR4	A0A2I2UT39	F7BQG6	E2R2V6	A0A287AXP9	Q0IIB6	Q5RJY4	Q9DCT8	O94760
G1SS01	A0A286XCA9	W5P7K4	M3WQR5	F6V975	F1PFL7	P10612	F6R1G6	O08781	Q8BMC3	Q8WXX7
G1U277	H0V6Z3	W5QD97	M3W8R0	F6XI72	E2RKF1	F1RXE4	A6QR03	D3ZEN0	Q8VIM5	P61165
G1TPJ8	H0VGL3	W5QEM7	M3W199	F6UVQ9	F1PDT8	I3L9H0	F1MQX0	Q07205	Q91WQ0	Q8TDG2
G1SGH5	A0A286XXY3	W5PQ14	M3W402	F6YEX2	J9NU02	F1RNJ5	P00435	M0R6R8	Q9CR30	P07766
G1ST38	A0A286XQR8	W5QA29	A0A2I2U4W5	F6TMS8	F6Y394	A0A287BD71	F1MNG5	P09118	O35149	O00748
G1SCF8	H0V272	W5PED9	A0A2I2UJY9	F6TTV5	F1PCB7	A0A286ZVU4	F1N7E6	Q5U2W4	Q9CZW2	Q7Z7G0
G1T373	H0VDU7	B9VH02	A0A2I2UVR2	F6QUK1	Q863Z4	P50390	E1BI28	P06762	E9Q912	Q9BZC7
G1SRF6	Q9Z318	Q52NW3	M3WM86	F7B332	E2RLE0	I3LGV4	E1B9S2	Q66H58	Q9QZ26	Q86YI8
G1SYV3	A0A286XTL7	W5QDN0	M3X194	F6TIJ4	F1PQ34	F1SMM2	A4IFG5	M0R6H3	Q8BLQ0	Q11201
G1SUM8	A0A286XNQ7	W5NRR2	M3WBB7	F7E225	E2R428	A0A287B050	F1N1L7	Q5I0I6	O09161	A0A1X9RU27
G1SDR4	A0A286XBN5	W5PKL0	A0A2I2U687	F6UIY6	F6XD36	F1S5N5	E1BKK3	Q561R1	P51855	Q9NYZ4
G1SRY1	H0UV41	W5PUN1	M3WIC4	F6SDL5	E2R2P0	I3LER5	G3N2E4	Q792I0	Q9R000	Q9H582
G1SLN5	H0VJG4	W5Q173	M3X245	F6YNN4	E2RBI3	A0A286ZVD0	F1MFV9	D3ZT37	Q8BH32	Q6PJ69
G1U2R2	A0A286XGW9	W5PGQ4	A0A2I2UVB4	F6TP72	E2R7R9	B5APU6	E1BIE7	D4AB03	Q9D0I9	Q969Q4
G1SNM8	H0VTH5	W5Q0Y1	A0A2I2UQI9	F6RYV1	F1PYG3	A0A287A852	Q0VCA8	M0R8A5	E9Q9Y3	Q9C075
G1SNP9	P11415	W5QBV5	A0A2I2UXG9	F6WLS1	F1PLS1	F1RX21	Q0VC98	G3V927	Q6P9N8	Q9UPQ3
G1T435	A0A286XLW5	W5PFB1	M3W3T8	F6VBU0	F1PAZ4	F1S071	E1BDL0	Q3T1H8	Q9QUR8	Q5JWF2
G1T1I5	A0A286XYI5	W5PWL4	A0A2I2UAQ8	F6ZCE5	J9P5S1	I3LH24	Q2NL31	F1MAK9	Q9CQW2	Q0VAM2
A7X8X3	H0VQ45	W5PUX0	M3WNY2	F7BQY5	E2R2G5	A0A287BT02	P29105	A0A0G2JTK4	Q8VE08	Q9UBB4
G1TWP8	H0VFG0	W5NRU2	M3WVJ7	F6ZQD3	F1PK03	F1RHC9	E1BNI4	F1M6W6	Q9WVH9	O95777
G1SCY7	A0A286XB34	W5P5W0	A0A2I2US56	B9A9U9	E2REI7	I3LPJ6	Q2HJ54	M0R5P8	Q8R087	P25106
G1U1B0	H0VU20	W5PFN9	M3WMB2	F6UH74	F1PB52	F1SFN0	G5E5F1	A0A0G2JSL1	G3X9D8	Q68DK3
G1STH2	H0VJ60	W5PIY5	M3X685	F7DYM8	P18066	F1SSH4	F1N091	A0A0G2JVM7	Q8CH18	O95789
G1SIB1	H0UUK2	W5PB94	M3WC23	F6ZY52	J9P0A5	Q06AS8	Q0P594	P18420	Q80YE7	Q9C0D4
G1TNR4	H0VLF5	W5P8C7	M3VX62	F6PJ99	J9P5G4	F1SBP3	A3KMV2	D4A7U6	D6RJM5	Q8WUY9
G1SLH6	H0VHT8	W5P9V4	A0A2I2UD65	F6XSZ1	E2R603	B7U654	E1BK85	Q99PR0	Q9DCC3	Q1XH10
G1TIK7	H0V5S1	W5PUU2	M3WEU7	F6WLM2	J9PAB8	A0A287ADN5	F1MCV8	A0A0G2K889	O70374	P60842
G1TQB8	H0UUU4	W5P2K2	M3W8U1	F7DM11	E2RTE2	F1S7J9	Q17QF8	Q9JK64	Q80VE5	Q8IXI1
G1TPX9	A0A286XFS7	W5NZ43	M3WUJ0	F6XQF5	F1PR99	A0A287A2G0	A4IFE8	Q09325	O08603	Q9Y2W6
G1U8G0	H0VWQ1	W5QE52	M3W7M7	F7BUI8	J9JHP0	F1RL37	Q2NL14	G3V6A0	E9Q7T7	Q68BL7
G1SVL3	H0V3V0	W5Q3S8	M3X3N9	F6VBP0	E2R2H3	A0A287BSM5	F1MDF2	Q32PX4	Q9D0E3	Q9Y4A0
G1SQI3	H0W3D4	W5PMN6	M3WKW0	F7BKU3	E2RRT7	A0A287BJ74	E1BNL1	A0A0G2JTF0	Q8CA71	O75439
G1SXN1	H0VD47	W5Q3G6	M3VYL3	F6R304	F1PY16	A0A287A3S0	E1B970	F1M9N5	B1AWC9	Q9HB40
G1SHZ7	H0V2Y4	W5PL35	M3WJL3	F7DNE2	F1PB66	A0A287AD26	G3MYH4	Q6P9V1	Q9WUL6	P23141
G1T5E0	H0VN13	W5PSM7	M3W612	F6Z2K2	F1PE97	F1S8C9	F1N5C5	G3V6U5	Q69ZH9	P48167
G1T7J7	H0VUC9	W5QI55	M3W0F0	F6PRZ6	E2R5F4	I3LEJ3	F6RIH1	P63007	Q8BTZ5	P49116
G1T9A7	H0VH61	W5Q7K9	M3W5S2	F7AZ81	Q9BDQ4	I3LRS5	F1MHM8	G3V6V5	P56484	Q2TB20
G1SF55	A0A286XG65	W5NQA5	M3X1J7	F7DTU6	J9P8Z5	F1RXF6	Q148E6	P19225	O70274	Q9H376
G1SEM4	A0A286Y5B7	W5QHI9	M3WC27	F7BXA6	E2RAI8	F1RQR4	F2Z4G3	Q75Q41	O08599	P24864
G1T1G5	A0A286XGV7	W5Q7L4	M3WLE3	F7BVJ3	J9P019	F1RLC4	Q32L05	G3V9M2	P05201	Q96IZ0
G1T504	H0VVT7	W5NWU1	M3VY20	F6ST55	E2R4R9	A0A287BIR6	Q08DQ2	F6PUS4	Q91WV7	Q6MZT1
G1T8K1	H0VPY9	W5PU00	M3WWQ7	F7AQB8	E2RKY3	I3LU08	Q58DQ5	B0BN68	Q9D7N3	Q9Y253
G1SXN5	H0V0P8	W5Q5F1	M3WWP4	F6VNJ8	E2RBS3	F1RQX3	E1BAF7	A0A0G2K4H9	A0A0J9YTU1	Q16851
G1SSD2	H0UVV8	W5PQ76	M3WBS3	F6QW70	E2RMP8	F1SN89	Q27958	Q9JHG3	P70314	Q05513
G1SPU5	A0A286XLX9	W5QCV8	A0A2I2UYX7	F6TYB9	G1K2D7	F1RP91	P38408	D3ZZM7	Q6XPS7	Q9Y2K6
G1U069	H0UW28	W5P2S1	M3WFU8	F6WMA5	F1PYJ6	P16469	F1MSH8	P30082	Q8R4D5	Q8NCJ5
G1SIH4	A0A286XSG3	W5PFL9	M3VUB2	F6U463	J9P9X1	I3LQ86	E1BPS6	A0A0H2UHU3	Q9JKB1	Q6NXT3
G1TDQ8	A0A286XUN2	W5QHG9	M3W5B6	F7BK61	E2RP90	F1SDY3	F1N6V7	P18266	P07744	Q96H71
G1TKW6	A0A286XK32	W5PVY4	M3W942	F6VIX0	E2R7B4	F1SLM8	Q5E9S8	P55314	Q99P68	P21918
G1SST6	H0WAI6	W5PDN7	M3WBD8	F6TA64	J9PA13	A0A287BGF2	F1N591	E9PSU6	Q8VD00	O00167
G1SP68	H0VS89	W5PG13	M3XF13	F7DTG1	F1PZA1	F1RX37	Q58CU0	M0R565	Q8C156	Q8WW52
G1T3T6	H0VBH4	W5PUH5	M3WZ79	F6ZNL2	E2RPV8	A0A287B6S0	F1N037	B2RZ32	Q9D7S1	Q9P258
G1TDZ3	H0VDE1	W5PWP6	M3WXV6	F6PZM5	J9JHI0	F1RNH2	G3X778	Q5PQP4	Q8R5F7	Q8IYB8
G1SUG5	H0VXV8	W5PVG8	M3X7I0	F7DHB6	E2RHZ3	F1RFN6	E1BNQ2	D4A1R0	Q6NZL1	Q6P5W5
G1T9D1	H0W512	W5PQJ9	M3WHM0	F7DP30	J9JHL2	F1SQ87	G3X7D1	Q6AYB9	P12367	Q8WYD4
G1TFF2	H0W3G6	W5P2X6	M3WNY9	H9H029	E2RPT5	F1S9F3	Q5E960	D3ZWW3	Q6PNC0	Q9BSQ5
G1T1V5	H0UUT4	W5Q6D0	M3WBP4	F6PPG5	E2REL6	F1SH89	F1MD70	G3V7J9	P97402	Q8N8R3
G1SQP5	H0VS62	W5NY71	M3WD89	F6XT89	E2R4L6	F1SST8	A7MBD3	F1LRV6	Q91YQ3	P02794
U3KPM5	H0VMQ5	W5NVR8	M3WD08	F6UQ36	F1PN76	I3L979	E1BGD4	Q5I0C8	G3UW50	O75817
G1TP56	A0A286Y4G7	W5Q5V9	M3W674	F7DWY7	J9NVT8	F1SUC4	F1N330	A0A0H2UHT9	A2ANC1	Q9BYT9
G1TDN0	H0VL45	W5PYD3	A0A2I2U056	F6TSQ3	F1PYR3	F1SI80	A6QLD0	Q6P2A4	Q99MQ4	P58401
G1TRA7	A0A286XCI2	W5P5I5	M3WZ44	F6YY74	F6XEE7	A7WLH8	A7MBC1	A0A0G2QBZ5	P55821	P82914
G1SPS9	H0UVL3	W5NTM7	M3XAQ6	F6Z6S9	E2R9M9	F1RQB8	Q6H320	G3V9F5	P50992	P54707
G1STT9	A0A286XC16	W5PU72	M3XCG0	F6WWN4	E2QUC4	A0A287AYE6	E1BBT0	Q811Q1	Q9Z1N7	P24043
G1TBA2	H0V243	W5QIV5	M3WMC8	F6ZH82	E2RT83	K7GS70	F1MF38	A0A0G2K3D9	Q8BWY4	Q9NWW6
G1T6M0	A0A286XAD4	W5PTY0	M3VWK7	F6Z5F4	E2QZC3	F1S9W4	E1BK29	F1LRK9	P51942	P57772
G1TC47	A0A286XTL5	W5Q825	M3WHH0	F7AJK0	F1P652	F1SIG7	F1MIJ6	G3V8F9	Q6P8I4	P37173
G1SZU3	H0UVU8	W5P305	M3W9F1	F6S0L7	E2RC10	A0A287AF63	F1MG21	D4A228	P62892	Q13643
G1T5U3	H0VUI1	W5PX98	M3WWH5	F7D073	F1PPQ4	A0A287B3S4	E1BM06	F1LLX7	P97360	Q5JVS0
G1SRE6	H0VLL4	W5Q302	M3WAJ7	F6T5B7	F6UV28	A0A287BID4	Q2HJ97	P20417	A2AN08	Q13439
